"Code","Symbol","Industry","Board"
"IIA.VI","Immofinanz AG","Unknown","Vienna"
"IEA.VI","Immoeast AG","Unknown","Vienna"
"EBS.VI","Erste Group Bank AG","Unknown","Vienna"
"TKA.VI","Telekom Austria Ag","Unknown","Vienna"
"ATR.VI","Atrium European Real Estate Ltd.","Unknown","Vienna"
"VOE.VI","Voestalpine AG","Unknown","Vienna"
"VER.VI","Verbund (Osterr Elek)","Unknown","Vienna"
"VIG.VI","Vienna Insurance Group","Unknown","Vienna"
"STR.VI","STRABAG","Unknown","Vienna"
"ANDR.VI","Andritz Ag","Unknown","Vienna"
"CWI.VI","conwert Immobilien Invest AG","Unknown","Vienna"
"CAI.VI","CA Immobilien Anlagen AG","Unknown","Vienna"
"ICLL.VI","Intercell AG","Unknown","Vienna"
"POST.VI","Osterreichische Post AG","Unknown","Vienna"
"ZAG.VI","Zumtobel AG","Unknown","Vienna"
"BWIN.VI","Bwin Interactive Entertainment AG","Unknown","Vienna"
"SPI.VI","Sparkassen Immobilien Ag","Unknown","Vienna"
"SKY.VI","SkyEurope Holding Ag","Unknown","Vienna"
"CWT.VI","Christ Water Technology","Unknown","Vienna"
"EVN.VI","EVN AG","Unknown","Vienna"
"SBO.VI","Schoeller Bleckmann","Unknown","Vienna"
"UQA.VI","UNIQA Versicherungen AG","Unknown","Vienna"
"PYT.VI","Polytec Holding AG","Unknown","Vienna"
"FLU.VI","Flug.Wien (Vienna airport)","Unknown","Vienna"
"ANM.VI","ANMATHE BETEILIGUNG","Unknown","Vienna"
"CAII.VI","CA Immo International AG","Unknown","Vienna"
"ATB.VI","ATB AUSTRIA ANTRIEBSTECHNIK AG","Unknown","Vienna"
"PAL.VI","Palfinger AG","Unknown","Vienna"
"HTI.VI","HTI HITECH INDUSTR","Unknown","Vienna"
"ATEC.VI","A TEC Industries AG","Unknown","Vienna"
"HEAD.VI","Head Nv","Unknown","Vienna"
"BENE.VI","Bene AG","Unknown","Vienna"
"SEM.VI","Semperit Holding","Unknown","Vienna"
"WXF.VI","WARIMPEX FIN- U.BET","Unknown","Vienna"
"ECO.VI","ECO Business Immobilier","Unknown","Vienna"
"BWT.VI","BWT AG","Unknown","Vienna"
"063434.VI","LIFE SETTLEM HOLD G","Unknown","Vienna"
"COV.VI","Constantia Packaging Ag","Unknown","Vienna"
"EURM.VI","Euromarketings","Unknown","Vienna"
"BIND.VI","BINDER + CO","Unknown","Vienna"
"AGR.VI","Agrana Beteiligungs AG","Unknown","Vienna"
"WOL.VI","Wolford AG","Unknown","Vienna"
"TTAG.VI","Teletrader.Com Software","Unknown","Vienna"
"ROS.VI","Rosenbauer International AG","Unknown","Vienna"
"PARS.VI","Pankl Racing Systems AG","Unknown","Vienna"
"CPIW.VI","CPI IMMOBILIEN AG","Unknown","Vienna"
"WFTV.VI","Webfreetv.Com","Unknown","Vienna"
"TEAK.VI","TEAK HOLZ INT.","Unknown","Vienna"
"KTCG.VI","KAPSCH","Unknown","Vienna"
"PEP.VI","Pep (Private Equity Perform)","Unknown","Vienna"
"CNTY.VI","CENTURY CASINO ZT-A","Unknown","Vienna"
"BETB.VI","BETBULL  CT-A","Unknown","Vienna"
"CPI.VI","CPI IMMOB A 01 G","Unknown","Vienna"
"WWE.VI","WINDWORKS ENGINEER","Unknown","Vienna"
"AT0A056Q.VI","CAPEXIT","Unknown","Vienna"
"JWD.VI","Jowood Productions","Unknown","Vienna"
"HED.VI","Heid Maschinenfabrik","Unknown","Vienna"
"ABE.VI","AB EFFECTENBETEILIG","Unknown","Vienna"
"JMI.VI","Ragusa Beteiligungs AG","Unknown","Vienna"
"QINO.VI","QINO FLAGSHIP","Unknown","Vienna"
"VKW.VI","Vorarlberger Kraftwerke AG","Unknown","Vienna"
"KTM.VI","KTM Power Sports AG","Unknown","Vienna"
"SNT.VI","S & T (System Integration","Unknown","Vienna"
"EYBL.VI","Eybl International AG","Unknown","Vienna"
"OBS.VI","Oberbank Ag","Unknown","Vienna"
"AEM.VI","Austria Email AG","Unknown","Vienna"
"DOC.VI","Do & Co Restaurants AG","Unknown","Vienna"
"QCP.VI","QINO CAP PARTNERS","Unknown","Vienna"
"FER.VI","Feratel Media Techno","Unknown","Vienna"
"LNZ.VI","Lenzing AG","Unknown","Vienna"
"UIV.VI","Unternehmens Invest AG","Unknown","Vienna"
"PHIO.VI","PHION","Unknown","Vienna"
"FKA.VI","Frauenthal Keramik","Unknown","Vienna"
"MTHO.VI","MANAGEMENT TRUST","Unknown","Vienna"
"SWUT.VI","Sw Umwelttechnik Stoiser","Unknown","Vienna"
"RAT.VI","Rath AG","Unknown","Vienna"
"AWS.VI","AVW Invest AG","Unknown","Vienna"
"FOTA.VI","FOTEX CT-A","Unknown","Vienna"
"HIS.VI","HIRSCH Servo AG","Unknown","Vienna"
"CHS.VI","TG Holding AG","Unknown","Vienna"
"IPO.VI","IPO BOARD.NET","Unknown","Vienna"
"RCFT.VI","RAIFF CENT G","Unknown","Vienna"
"AAIA.VI","ALPE ADRIA 49 GS","Unknown","Vienna"
"HTA.VI","Hta Beteiligungs","Unknown","Vienna"
"060590.VI","RAIFF CENTR G","Unknown","Vienna"
"HST.VI","Hutter & Schrantz Stahllbau AG","Unknown","Vienna"
"LTH.VI","Linz Textil Holding AG","Unknown","Vienna"
"ATH.VI","ATHOS IMMO","Unknown","Vienna"
"WPI.VI","Wiener Privatbank SE","Unknown","Vienna"
"HUS.VI","Hutter & Schrantz Ag","Unknown","Vienna"
"IKU.VI","INKU AG","Unknown","Vienna"
"STM.VI","Stadlauer Malzfabrik AG","Unknown","Vienna"
"UBS.VI","Union Baumaterialien Ges.","Unknown","Vienna"
"BKS.VI","Bank Fuer Kaernten Steie.","Unknown","Vienna"
"MAN.VI","Manner Josef","Unknown","Vienna"
"SLBS.VI","Schlumberger Ag","Unknown","Vienna"
"BHD.VI","Burgenland Holding AG","Unknown","Vienna"
"HVPS.VI","Vorarlberger Landes Hypobk-P","Unknown","Vienna"
"LAI.VI","L.A.I.BETEIL-INVEST","Unknown","Vienna"
"MBV.VI","Miba AG","Unknown","Vienna"
"POS.VI","Porr (Allg.Bauges)","Unknown","Vienna"
"430590.VI","RHI AG","Unknown","Vienna"
"BTS.VI","Bank Fuer Tirol U Vorarl.","Unknown","Vienna"
"IMP.VI","Imperial Hotels Austria Ag","Unknown","Vienna"
"ZWAA.VI","ZWACK UNICUM ZT-ATN","Unknown","Vienna"
"430021.VI","OMV AG","Unknown","Vienna"
"IBUA.VI","IBUSZ CT-A","Unknown","Vienna"
"SLAV.VI","SLAV HANDEL","Unknown","Vienna"
"KRGS.VI","KRECO REALITAET G","Unknown","Vienna"
"352824.VI","Boehler Uddeholm","Unknown","Vienna"
"VBPS.VI","OEST VOLKSBK PS","Unknown","Vienna"
"ETV.VI","ETV HOLDING AG","Unknown","Vienna"
"PHO.VI","PANKL & HOFMANN","Unknown","Vienna"
"OTS.VI","Ottakringer Brauerei AG","Unknown","Vienna"
"VVPS.VI","Vorarlberger Volksbank","Unknown","Vienna"
"218214.VI","Mayr Melnhof Karton Ag","Unknown","Vienna"
"429037.VI","Flug.Wien (Vienna airport)","Unknown","Vienna"
"PLA.VI","PLA EUROLOGISTICS","Unknown","Vienna"
"EFJI.VI","4.95 ERSFIN 3NCP 1","Unknown","Vienna"
"675054.VI","Austrian Airlines","Unknown","Vienna"
"PSI.VI","PRIME SITE IMMOB","Unknown","Vienna"
"RIBH.VI","Raiffeisen International Bank","Unknown","Vienna"
"RHI.VI","RHI AG","Unknown","Vienna"
"828998.VI","AT&S Austria Techn & Syst","Unknown","Vienna"
"BFC.VI","Brain Force Holding AG","Unknown","Vienna"
"BTV.VI","BK F TIR&VOR VZ","Unknown","Vienna"
"AAA.VI","AUSTR ASSE BET INV","Unknown","Vienna"
"BHA.VI","Bet-at-home.com AG","Unknown","Vienna"
"C8I.VI","C-Quadrat Investments AG","Unknown","Vienna"
"OBV.VI","OBERBANK VZ","Unknown","Vienna"
"BKV.VI","BKS BANK VZ","Unknown","Vienna"
"428837.VI","EVN AG","Unknown","Vienna"
"SLBV.VI","SCHLUMBERGER VZ","Unknown","Vienna"
"OTV.VI","OTTAKR BRAU VZ","Unknown","Vienna"
"POV.VI","ALLG.BAU PORR VZ","Unknown","Vienna"
"728952.VI","Erste Group Bank AG","Unknown","Vienna"
"IVK.VI","INVESTKREDIT BANK","Unknown","Vienna"
"414921.VI","Voestalpine AG","Unknown","Vienna"
"431965.VI","Wienerberger Baustoff","Unknown","Vienna"
"OTKS.VI","OTTAKRINGER BRAU PS","Unknown","Vienna"
"IRS.VI","IGM ROBOTERSYSTEME","Unknown","Vienna"
"IRV.VI","IGM ROBOTERSYST VZ","Unknown","Vienna"
"POKS.VI","ALLG BAUG PORR PS","Unknown","Vienna"
"NOGS.VI","NOE-HYPO IMMOBIL","Unknown","Vienna"
"AUS.VI","AT&S Austria Techn & Syst","Unknown","Vienna"
"062422.VI","HTA III VENTURE G","Unknown","Vienna"
"ROL.VI","ROLINCO NV","Unknown","Vienna"
"078950.VI","ST.GEORG BET. AG","Unknown","Vienna"
"060107.VI","0 VICTORY INDB G","Unknown","Vienna"
"062919.VI","AW FINANZ-U. BOER G","Unknown","Vienna"
"KNZ1.VI","KONZUM","Unknown","Vienna"
"429191.VI","HEMINGWAY HOLDING","Unknown","Vienna"
"RAB.VI","Raba Magyar Vagon","Unknown","Vienna"
"324500.VI","Bayerische Hypo & Vereinsbank","Unknown","Vienna"
