"Code","Symbol","Industry","Board"
"FORB.BR","Fortis","Unknown","Brussels"
"ABI.BR","Anheuser-Busch InBev","Unknown","Brussels"
"NTONS.BR","NEWTON 21 EUR.STRIP","Unknown","Brussels"
"DEXB.BR","Dexia SA","Unknown","Brussels"
"ACCB.BR","Accentis","Unknown","Brussels"
"KBC.BR","KBC Groupe SA","Unknown","Brussels"
"AGFB.BR","Agfa Gevaert Nv","Unknown","Brussels"
"UMI.BR","UMICORE","Unknown","Brussels"
"NYR.BR","NYRSTAR","Unknown","Brussels"
"BELG.BR","Belgacom SA","Unknown","Brussels"
"ABIS.BR","ANH.-B.INBEV STRIP","Unknown","Brussels"
"DELB.BR","Delhaize Group SA","Unknown","Brussels"
"UCB.BR","UCB SA","Unknown","Brussels"
"REA.BR","Realdolmen N.V.","Unknown","Brussels"
"TNET.BR","Telenet Group","Unknown","Brussels"
"KBCA.BR","KBC ANCORA","Unknown","Brussels"
"MOBB.BR","Mobistar SA","Unknown","Brussels"
"SOLB.BR","Solvay SA","Unknown","Brussels"
"GBLB.BR","Groupe Bruxelles Lambert SA","Unknown","Brussels"
"DUR.BR","DRDGOLD","Unknown","Brussels"
"EURN.BR","Euronav","Unknown","Brussels"
"CMB.BR","Compagnie Maritime Belge N.V.","Unknown","Brussels"
"GLPG.BR","Galapagos N.V.","Unknown","Brussels"
"BEKB.BR","Bekaert SA","Unknown","Brussels"
"OPTI.BR","Option NV","Unknown","Brussels"
"OME.BR","Omega Pharma","Unknown","Brussels"
"RHJI.BR","RHJ International SA","Unknown","Brussels"
"NAT.BR","Nationale A Portefeuille","Unknown","Brussels"
"COLR.BR","Colruyt SA","Unknown","Brussels"
"SPEC.BR","Spector","Unknown","Brussels"
"TESB.BR","Tessenderlo Chemie","Unknown","Brussels"
"TNETS.BR","TELENET GR.H.STRIP","Unknown","Brussels"
"ACKB.BR","Ackermans & Van Haaren","Unknown","Brussels"
"EVS.BR","Evs Broadcasting Equip","Unknown","Brussels"
"SOF.BR","SOFINA SA","Unknown","Brussels"
"GFLB.BR","GOLD FIELDS IDR","Unknown","Brussels"
"THR.BR","ThromboGenics NV","Unknown","Brussels"
"UMIS.BR","UMICORE STRIP","Unknown","Brussels"
"GIMB.BR","GIMV","Unknown","Brussels"
"BAR.BR","Barco","Unknown","Brussels"
"GSZBS.BR","GAZ DE FRANCE STRIP","Unknown","Brussels"
"RCUS.BR","ARSEUS","Unknown","Brussels"
"ABLX.BR","ABLYNX","Unknown","Brussels"
"DEVG.BR","Devgen N.V","Unknown","Brussels"
"RTL.BR","RTL Group SA","Unknown","Brussels"
"MELE.BR","Melexis","Unknown","Brussels"
"HMY.BR","HARMONY GOLD IDR","Unknown","Brussels"
"CFE.BR","CFE","Unknown","Brussels"
"BOMB.BR","BOMBARDIER SOF","Unknown","Brussels"
"IBAB.BR","IBA (Ion Beam Applications)","Unknown","Brussels"
"MTRS.BR","Metris N.V.","Unknown","Brussels"
"ENV.BR","Envipco Holdings","Unknown","Brussels"
"TIG.BR","TIGENIX","Unknown","Brussels"
"TRAN.BR","TRANSICS INTERNAT.","Unknown","Brussels"
"TUB.BR","Financiere De Tubize SA","Unknown","Brussels"
"ELI.BR","Elia","Unknown","Brussels"
"PUN.BR","Punch International","Unknown","Brussels"
"SIP.BR","SIPEF","Unknown","Brussels"
"PINS.BR","PINGUINLUTOSA STRIP","Unknown","Brussels"
"IBT.BR","Ibt (Intl Brachytherapy","Unknown","Brussels"
"MTRSS.BR","METRIS IPR STRIP","Unknown","Brussels"
"REC.BR","Recticel SA","Unknown","Brussels"
"KIN.BR","Kinepolis","Unknown","Brussels"
"DECB.BR","Deceuninck","Unknown","Brussels"
"RCUSS.BR","ARSEUS STRIP","Unknown","Brussels"
"GLOG.BR","Global Graphics SA","Unknown","Brussels"
"BREB.BR","Brederode SA","Unknown","Brussels"
"UNITB.BR","Unitronics","Unknown","Brussels"
"DIE.BR","D'Ieteren","Unknown","Brussels"
"KEYW.BR","KEYWARE TECH.","Unknown","Brussels"
"ZENT.BR","Zenitel","Unknown","Brussels"
"PTX.BR","Punch Telematix NV","Unknown","Brussels"
"EXM.BR","Exmar SA","Unknown","Brussels"
"ZTSS.BR","ZETES INDUST.STRIP","Unknown","Brussels"
"ANG.BR","ANGLOGOLD ASHAN.IDR","Unknown","Brussels"
"MEDV.BR","Medivision","Unknown","Brussels"
"ENIN.BR","4ENERGY INVEST","Unknown","Brussels"
"ONCOB.BR","OncoMethylome Sciences SA","Unknown","Brussels"
"ABLXS.BR","ABLYNX STRIP","Unknown","Brussels"
"THRS.BR","THROMBOGENICS STRIP","Unknown","Brussels"
"ROU.BR","Roularta","Unknown","Brussels"
"PCBB.BR","PCB SA","Unknown","Brussels"
"SIOE.BR","Sioen Industries","Unknown","Brussels"
"ALPTS.BR","PORTHUS STRIP","Unknown","Brussels"
"ECONB.BR","Econocom","Unknown","Brussels"
"PAY.BR","Payton Planar Magnetics","Unknown","Brussels"
"IPTE.BR","Ipte","Unknown","Brussels"
"KBCN.BR","KBC GROUP JCE 09","Unknown","Brussels"
"JEN.BR","Jensen Group NV","Unknown","Brussels"
"VAN.BR","Van De Velde","Unknown","Brussels"
"SOLVS.BR","SOLVAC N STRIP","Unknown","Brussels"
"HAMO.BR","Hamon And Cie","Unknown","Brussels"
"TRANS.BR","TRANSICS INT.STRIP","Unknown","Brussels"
"PHAR.BR","PHARCO","Unknown","Brussels"
"ALFA.BR","ALFACAM GROUP","Unknown","Brussels"
"HENX.BR","HENEX","Unknown","Brussels"
"BAM.BR","BROOKFIELD AM IDR","Unknown","Brussels"
"IMMO.BR","Immobiliere De Belgique","Unknown","Brussels"
"ATEB.BR","Atenor Group","Unknown","Brussels"
