"Code","Symbol","Industry","Board"
"GGBR4.SA","GERDAU-PN","Unknown","Unknown"
"TRPL4.SA","TRAN PAULIST-PN","Unknown","Unknown"
"NATU3.SA","NATURA-ON","Unknown","Unknown"
"PETR3.SA","PETROBRAS-ON","Unknown","Unknown"
"TNLP4.SA","TELEMAR-PN","Unknown","Unknown"
"MRVE3.SA","MRV-ON","Unknown","Unknown"
"VALE3.SA","VALE-ON","Unknown","Unknown"
"AMBV4.SA","AMBEV-PN","Unknown","Unknown"
"CESP6.SA","CESP-PNB","Unknown","Unknown"
"NETC4.SA","NET-PN","Unknown","Unknown"
"TMAR5.SA","TELEMAR N L -PNA","Unknown","Unknown"
"RDCD3.SA","REDECARD-ON","Unknown","Unknown"
"LREN3.SA","LOJAS RENNER-ON","Unknown","Unknown"
"LAME4.SA","LOJAS AMERIC-PN","Unknown","Unknown"
"DTEX3.SA","DURATEX-ON","Unknown","Unknown"
"EMBR3.SA","EMBRAER-ON","Unknown","Unknown"
"SBSP3.SA","SABESP-ON","Unknown","Unknown"
"BRKM5.SA","BRASKEM-PNA","Unknown","Unknown"
"UGPA4.SA","ULTRAPAR-PN","Unknown","Unknown"
"PCAR5.SA","P.ACUCAR-CBD-PNA","Unknown","Unknown"
"JBSS3.SA","JBS-ON","Unknown","Unknown"
"FIBR3.SA","FIBRIA-ON","Unknown","Unknown"
"ECOD3.SA","ECODIESEL-ON","Unknown","Unknown"
"CMIG4.SA","CEMIG-PN","Unknown","Unknown"
"BBDC4.SA","BRADESCO-PN","Unknown","Unknown"
"PETR4.SA","PETROBRAS-PN","Unknown","Unknown"
"CCRO3.SA","CCR RODOVIAS-ON","Unknown","Unknown"
"GOLL4.SA","GOL-PN","Unknown","Unknown"
"USIM5.SA","USIMINAS-PNA","Unknown","Unknown"
"TAMM4.SA","TAM S/A-PN","Unknown","Unknown"
"TLPP4.SA","TELESP-PN","Unknown","Unknown"
"GFSA3.SA","GAFISA-ON","Unknown","Unknown"
"KLBN4.SA","KLABIN S/A-PN","Unknown","Unknown"
"CRUZ3.SA","SOUZA CRUZ-ON","Unknown","Unknown"
"VALE5.SA","VALE-PNA","Unknown","Unknown"
"CSAN3.SA","COSAN-ON","Unknown","Unknown"
"TNLP3.SA","TELEMAR-ON","Unknown","Unknown"
"BTOW3.SA","B2W VAREJO-ON","Unknown","Unknown"
"BRFS3.SA","BRF FOODS-ON","Unknown","Unknown"
"TCSL4.SA","TIM PART S/A-PN","Unknown","Unknown"
"USIM3.SA","USIMINAS-ON","Unknown","Unknown"
"CIEL3.SA","CIELO-ON","Unknown","Unknown"
"ALLL11.SA","ALL AMER LAT-UNT","Unknown","Unknown"
"BVMF3.SA","BMFBOVESPA-ON","Unknown","Unknown"
"ITUB4.SA","ITAUUNIBANCO-PN","Unknown","Unknown"
"ELET6.SA","ELETROBRAS-PNB","Unknown","Unknown"
"ELPL6.SA","ELETROPAULO -PNB","Unknown","Unknown"
"CYRE3.SA","CYRELA REALT-ON","Unknown","Unknown"
"BRAP4.SA","BRADESPAR-PN","Unknown","Unknown"
"PDGR3.SA","PDG REALT-ON","Unknown","Unknown"
"LLXL3.SA","LLX LOG-ON","Unknown","Unknown"
"CSNA3.SA","SID NACIONAL-ON","Unknown","Unknown"
"BRTO4.SA","BRASIL TELEC-PN","Unknown","Unknown"
"TCSL3.SA","TIM PART S/A-ON","Unknown","Unknown"
"CPLE6.SA","COPEL-PNB","Unknown","Unknown"
"ITSA4.SA","ITAUSA-PN","Unknown","Unknown"
"GOAU4.SA","GERDAU MET-PN","Unknown","Unknown"
"RSID3.SA","ROSSI RESID -ON","Unknown","Unknown"
"VIVO4.SA","VIVO-PN","Unknown","Unknown"
"OGXP3.SA","OGX PETROLEO-ON","Unknown","Unknown"
"LIGT3.SA","LIGHT S/A-ON","Unknown","Unknown"
"MMXM3.SA","MMX MINER-ON","Unknown","Unknown"
"BBAS3.SA","BRASIL-ON","Unknown","Unknown"
"ELET3.SA","ELETROBRAS-ON","Unknown","Unknown"
"CPFE3.SA","CPFL ENERGIA-ON","Unknown","Unknown"
"CPFE3.SA","CPFL ENERGIA-ON","Unknown","Unknown"
"ABEV3.SA","Ambev SA","Unknown","Unknown"
