"Code","Symbol","Industry","Board"
"AAA.TO","Allana Potash Corp. J","Equity","Toronto"
"AAB.TO","Aberdeen Int'l. J","Equity","Toronto"
"AAR-UN.TO","Pure Industrial Un","Equity","Toronto"
"AAV.TO","Advantage Oil & Gas","Equity","Toronto"
"ABK-A.TO","Allbanc Split A Cap","Equity","Toronto"
"ABT.TO","Absolute Software J","Equity","Toronto"
"ABX.TO","Barrick Gold Corp.","Equity","Toronto"
"AC.TO","Air Canada Vote & VV","Equity","Toronto"
"ACC.TO","Amica Mature Lfstyle","Equity","Toronto"
"ACD.TO","Accord Financial","Equity","Toronto"
"ACO.X.TO","ATCO Ltd. Cl I NV","Equity","Toronto"
"ACO.Y.TO","ATCO Ltd. Cl II","Equity","Toronto"
"ACQ.TO","AutoCanada Inc.","Equity","Toronto"
"ACR-UN.TO","Agellan Commercl Un","Equity","Toronto"
"ACZ-UN.TO","Americn CoreSecDivUn","Equity","Toronto"
"AD.TO","Alaris Royalty Corp.","Equity","Toronto"
"ADC-UN.TO","Cdn Advantg Conv Un","Equity","Toronto"
"ADN.TO","Acadian Timber Corp.","Equity","Toronto"
"ADV.TO","Alderon Iron Ore J","Equity","Toronto"
"ADW-A.TO","Andrew Peller A NV","Equity","Toronto"
"ADW-B.TO","Andrew Peller Ltd. B","Equity","Toronto"
"AEI.TO","Arsenal Energy Inc J","Equity","Toronto"
"AEM.TO","Agnico Eagle Mines","Equity","Toronto"
"AET-UN.TO","Argent Energy Un J","Equity","Toronto"
"AEU-UN.TO","ACTIVEnergy Incm Un","Equity","Toronto"
"AEZ.TO","AEterna Zentaris Inc.","Equity","Toronto"
"AF.TO","AlarmForce Ind J","Equity","Toronto"
"AFN.TO","Ag Growth Int'l Inc.","Equity","Toronto"
"AFN-R.TO","Ag Growth Int'l Rec","Equity","Toronto"
"AGF-B.TO","AGF Management B NV","Equity","Toronto"
"AGI.TO","Alamos Gold Inc. J","Equity","Toronto"
"AGT.TO","AGT Food&Ingredients","Equity","Toronto"
"AGU.TO","Agrium Inc.","Equity","Toronto"
"AHF.TO","Aston Hill Fin J","Equity","Toronto"
"AHY-UN.TO","Advntg Cdn HiYld Bnd","Equity","Toronto"
"AI.TO","Atrium Mtg Invest","Equity","Toronto"
"AIF.TO","Altus Group Ltd.","Equity","Toronto"
"AIM.TO","Aimia Inc.","Equity","Toronto"
"AJX.TO","AgJunction Inc.","Equity","Toronto"
"AKG.TO","Asanko Gold Inc. J","Equity","Toronto"
"AKT-A.TO","Akita Drill Cl A NV","Equity","Toronto"
"AKT-B.TO","Akita Drilling Cl B","Equity","Toronto"
"ALA.TO","AltaGas Ltd.","Equity","Toronto"
"ALB.TO","Allbanc Splt 2 Cap A","Equity","Toronto"
"ALC.TO","Algoma Central Corp.","Equity","Toronto"
"ALS.TO","Altius Minerals Corp.","Equity","Toronto"
"AM.TO","Automodular Corp.","Equity","Toronto"
"AMF.TO","Amorfix Life J","Equity","Toronto"
"AMM.TO","Almaden Minerals","Equity","Toronto"
"ANS.TO","Ainsworth Lumber Co","Equity","Toronto"
"ANV.TO","Allied Nevada Gold J","Equity","Toronto"
