"Code","Symbol","Industry","Board"
"000001.SZ","平安银行","Unknown","Unknown"
"000002.SZ","万科Ａ","Unknown","Unknown"
"000004.SZ","国农科技","Unknown","Unknown"
"000005.SZ","世纪星源","Unknown","Unknown"
"000006.SZ","深振业Ａ","Unknown","Unknown"
"000007.SZ","零七股份","Unknown","Unknown"
"000008.SZ","神州高铁","Unknown","Unknown"
"000009.SZ","中国宝安","Unknown","Unknown"
"000010.SZ","深华新","Unknown","Unknown"
"000011.SZ","深物业A","Unknown","Unknown"
"000012.SZ","南玻Ａ","Unknown","Unknown"
"000014.SZ","沙河股份","Unknown","Unknown"
"000016.SZ","深康佳Ａ","Unknown","Unknown"
"000017.SZ","深中华A","Unknown","Unknown"
"000018.SZ","中冠A","Unknown","Unknown"
"000019.SZ","深深宝Ａ","Unknown","Unknown"
"000020.SZ","深华发Ａ","Unknown","Unknown"
"000021.SZ","深科技","Unknown","Unknown"
"000022.SZ","深赤湾Ａ","Unknown","Unknown"
"000023.SZ","深天地Ａ","Unknown","Unknown"
"000024.SZ","招商地产","Unknown","Unknown"
"000025.SZ","特力Ａ","Unknown","Unknown"
"000026.SZ","飞亚达Ａ","Unknown","Unknown"
"000027.SZ","深圳能源","Unknown","Unknown"
"000028.SZ","国药一致","Unknown","Unknown"
"000029.SZ","深深房Ａ","Unknown","Unknown"
"000030.SZ","富奥股份","Unknown","Unknown"
"000031.SZ","中粮地产","Unknown","Unknown"
"000032.SZ","深桑达Ａ","Unknown","Unknown"
"000033.SZ","*ST新都","Unknown","Unknown"
"000034.SZ","深信泰丰","Unknown","Unknown"
"000035.SZ","中国天楹","Unknown","Unknown"
"000036.SZ","华联控股","Unknown","Unknown"
"000037.SZ","深南电Ａ","Unknown","Unknown"
"000038.SZ","深大通","Unknown","Unknown"
"000039.SZ","中集集团","Unknown","Unknown"
"000040.SZ","宝安地产","Unknown","Unknown"
"000042.SZ","中洲控股","Unknown","Unknown"
"000043.SZ","中航地产","Unknown","Unknown"
"000045.SZ","深纺织Ａ","Unknown","Unknown"
"000046.SZ","泛海控股","Unknown","Unknown"
"000048.SZ","康达尔","Unknown","Unknown"
"000049.SZ","德赛电池","Unknown","Unknown"
"000050.SZ","深天马Ａ","Unknown","Unknown"
"000053.SZ","深基地Ｂ","Unknown","Unknown"
"000054.SZ","建摩B","Unknown","Unknown"
"000055.SZ","方大集团","Unknown","Unknown"
"000056.SZ","深国商","Unknown","Unknown"
"000058.SZ","深赛格","Unknown","Unknown"
"000059.SZ","华锦股份","Unknown","Unknown"
"000060.SZ","中金岭南","Unknown","Unknown"
"000061.SZ","农产品","Unknown","Unknown"
"000062.SZ","深圳华强","Unknown","Unknown"
"000063.SZ","中兴通讯","Unknown","Unknown"
"000065.SZ","北方国际","Unknown","Unknown"
"000066.SZ","长城电脑","Unknown","Unknown"
"000068.SZ","*ST华赛","Unknown","Unknown"
"000069.SZ","华侨城Ａ","Unknown","Unknown"
"000070.SZ","特发信息","Unknown","Unknown"
"000078.SZ","海王生物","Unknown","Unknown"
"000088.SZ","盐田港","Unknown","Unknown"
"000089.SZ","深圳机场","Unknown","Unknown"
"000090.SZ","天健集团","Unknown","Unknown"
"000096.SZ","广聚能源","Unknown","Unknown"
"000099.SZ","中信海直","Unknown","Unknown"
"000100.SZ","TCL集团","Unknown","Unknown"
"000150.SZ","宜华健康","Unknown","Unknown"
"000151.SZ","中成股份","Unknown","Unknown"
