"Code","Symbol","Industry","Board"
"VWS.CO","Vestas Wind Systems A/S","Unknown","Copenhagen"
"OLI.CO","Olicom AS","Unknown","Copenhagen"
"TPSL.CO","Topsil","Unknown","Copenhagen"
"DSV.CO","DSV","Unknown","Copenhagen"
"GN.CO","GN Store Nord A/S","Unknown","Copenhagen"
"FLS.CO","FLSmidth & Co","Unknown","Copenhagen"
"NZYM-B.CO","Novozymes A/S","Unknown","Copenhagen"
"DNORD.CO","D/S NORDEN","Unknown","Copenhagen"
"LUN.CO","Lundbeck","Unknown","Copenhagen"
"GEN.CO","Genmab A/S","Unknown","Copenhagen"
"TOPO.CO","TopoTarget A/S","Unknown","Copenhagen"
"DCO.CO","Danisco A/S","Unknown","Copenhagen"
"TORM.CO","D/S TORM","Unknown","Copenhagen"
"SYDB.CO","Sydbank A/S","Unknown","Copenhagen"
"GUAVA.CO","GUAVA","Unknown","Copenhagen"
"WALLS.CO","WALLS AS","Unknown","Copenhagen"
"NKT.CO","NKT","Unknown","Copenhagen"
"COLO-B.CO","Coloplast A/S","Unknown","Copenhagen"
"WDH.CO","William Demant Holding A/S","Unknown","Copenhagen"
"JYSK.CO","Jyske Bank A/S","Unknown","Copenhagen"
"TRYG.CO","Trygvesta AS","Unknown","Copenhagen"
"LCP.CO","LifeCycle Pharma AS","Unknown","Copenhagen"
"GRIFIV-B.CO","GRIFFIN IV BERL -B-","Unknown","Copenhagen"
"TOP.CO","Topdanmark A/S","Unknown","Copenhagen"
"CAPI.CO","Capinordic A/S","Unknown","Copenhagen"
"GRFBER-B.CO","Griffin III Berlin As","Unknown","Copenhagen"
"SOEN.CO","Sondagsavisen A/S","Unknown","Copenhagen"
"GES.CO","Greentech Energy Systems A/S","Unknown","Copenhagen"
"PHARMX.CO","Pharmexa A/S","Unknown","Copenhagen"
"EAC.CO","East Asiatic Co. As","Unknown","Copenhagen"
"AURI-B.CO","Auriga Industries A/S","Unknown","Copenhagen"
"MONDO.CO","Mondo AS","Unknown","Copenhagen"
"TKDV.CO","TK Development A/S","Unknown","Copenhagen"
"BIOPOR.CO","Bioporto A/S","Unknown","Copenhagen"
"DANIO.CO","Danionics A/S","Unknown","Copenhagen"
"FPLIM.CO","Formuepleje Limittellus AS","Unknown","Copenhagen"
"ELITE-B.CO","Arhus Elite","Unknown","Copenhagen"
"ROV.CO","Rovsing AS","Unknown","Copenhagen"
"NEUR.CO","NeuroSearch A/S","Unknown","Copenhagen"
"SJGR.CO","Sjaelso gruppen","Unknown","Copenhagen"
"ROCK-B.CO","Rockwool International A/S","Unknown","Copenhagen"
"EI.CO","EUROINVESTOR","Unknown","Copenhagen"
"NANO.CO","NANOCOVER","Unknown","Copenhagen"
"FPPEN.CO","Formuepleje Penta AS","Unknown","Copenhagen"
"GW.CO","GREEN WIND ENERGY","Unknown","Copenhagen"
"ADSERVE.CO","ADSERVING INT","Unknown","Copenhagen"
"CUR.CO","Curalogic AS","Unknown","Copenhagen"
"FPSAFE.CO","Formuepleje Safe AS","Unknown","Copenhagen"
"3297.CO","Roskilde Bank A/S","Unknown","Copenhagen"
