"Code","Symbol","Industry","Board"
"ALU.PA","Alcatel-Lucent","Unknown","Paris"
"FTE.PA","France Telecom","Unknown","Paris"
"TMS.PA","Technicolor","Unknown","Paris"
"CS.PA","AXA SA","Unknown","Paris"
"ACA.PA","Credit Agricole","Unknown","Paris"
"TEO.PA","Theolia SA","Unknown","Paris"
"FP.PA","Total SA","Unknown","Paris"
"KN.PA","Natixis","Unknown","Paris"
"GLE.PA","Societe Generale","Unknown","Paris"
"BNP.PA","BNP Paribas SA","Unknown","Paris"
"STM.PA","Stmicroelectronics","Unknown","Paris"
"VIV.PA","Vivendi","Unknown","Paris"
"GSZ.PA","GDF Suez","Unknown","Paris"
"SAN.PA","Sanofi-Aventis SA","Unknown","Paris"
"SGO.PA","Saint Gobain","Unknown","Paris"
"CA.PA","Carrefour SA","Unknown","Paris"
"EAD.PA","Eads","Unknown","Paris"
"BN.PA","Danone S.A.","Unknown","Paris"
"UG.PA","Peugeot SA","Unknown","Paris"
"DG.PA","Vinci SA","Unknown","Paris"
"AF.PA","Air France-KLM","Unknown","Paris"
"ALO.PA","Alstom SA","Unknown","Paris"
"RNO.PA","Renault SA","Unknown","Paris"
"VIE.PA","Veolia Environnement SA","Unknown","Paris"
"LG.PA","Lafarge SA","Unknown","Paris"
"EDF.PA","Electricite de France","Unknown","Paris"
"EN.PA","Bouygues SA","Unknown","Paris"
"RHA.PA","RHODIA RGPT","Unknown","Paris"
"COX.PA","Nicox","Unknown","Paris"
"GET.PA","GP EUROTUNNEL RGPT","Unknown","Paris"
"CAP.PA","Cap Gemini SA","Unknown","Paris"
"GA.PA","CGG Veritas","Unknown","Paris"
"AC.PA","Accor SA","Unknown","Paris"
"SOI.PA","Soitec","Unknown","Paris"
"SU.PA","Schneider Electric SA","Unknown","Paris"
"MC.PA","LVMH","Unknown","Paris"
"UBI.PA","UBI Soft Entert.","Unknown","Paris"
"SEV.PA","SUEZ ENV. CPY","Unknown","Paris"
"SAF.PA","SAFRAN SA","Unknown","Paris"
"OR.PA","Oreal (L')","Unknown","Paris"
"HAV.PA","Havas Sa","Unknown","Paris"
"AI.PA","Air Liquide SA","Unknown","Paris"
"VK.PA","Vallourec SA","Unknown","Paris"
"BNS.PA","Beni Stabili SpA","Unknown","Paris"
"PAJ.PA","Pages Jaunes","Unknown","Paris"
"FR.PA","Valeo SA","Unknown","Paris"
"ML.PA","Michelin","Unknown","Paris"
"SESG.PA","SES SA","Unknown","Paris"
"RI.PA","Pernod Ricard SA","Unknown","Paris"
"PUB.PA","Publicis Groupe SA","Unknown","Paris"
"EF1.PA","Essilor Intl","Unknown","Paris"
"TFI.PA","Television Francaise 1 (TF1)","Unknown","Paris"
"TEC.PA","Technip SA","Unknown","Paris"
"LR.PA","LeGrand Holding SA","Unknown","Paris"
"EADT.PA","ADT SIIC","Unknown","Paris"
"BULL.PA","Bull SA","Unknown","Paris"
"MAU.PA","Maurel Et Prom","Unknown","Paris"
"ALT.PA","Altran technologies SA","Unknown","Paris"
"MFG.PA","Montaigne Fashion Group","Unknown","Paris"
"HO.PA","Thales (Ex Thomson Csf)","Unknown","Paris"
"ETL.PA","Eutelsat Communications SA","Unknown","Paris"
"SCR.PA","SCOR SA","Unknown","Paris"
"UL.PA","Unibail-Rodamco","Unknown","Paris"
"MMB.PA","Lagardere","Unknown","Paris"
"ROD.PA","Rodriguez Group SA","Unknown","Paris"
"CNP.PA","CNP Assurances","Unknown","Paris"
"LI.PA","Klepierre","Unknown","Paris"
"SW.PA","Sodexo SA","Unknown","Paris"
"DBG.PA","Derichebourg","Unknown","Paris"
"JXR.PA","Archos SA","Unknown","Paris"
"CSAR.PA","CESAR RGRPT","Unknown","Paris"
"AKE.PA","Arkema SA","Unknown","Paris"
"PP.PA","PPR SA","Unknown","Paris"
"EO.PA","Faurecia SA","Unknown","Paris"
"DSY.PA","Dassault Systemes","Unknown","Paris"
"DPT.PA","ST Dupont SA","Unknown","Paris"
"ATO.PA","Atos Origin SA","Unknown","Paris"
"GTO.PA","Gemalto N.V.","Unknown","Paris"
"HIM.PA","Hi Media","Unknown","Paris"
"RXL.PA","REXEL","Unknown","Paris"
"MMT.PA","M6 Metropole Television","Unknown","Paris"
"RCF.PA","Teleperformance SA","Unknown","Paris"
"ARE.PA","Groupe Ares SA","Unknown","Paris"
"ZC.PA","Zodiac Aerospace","Unknown","Paris"
"CO.PA","Casino Guichard Perrachon SA","Unknown","Paris"
"BVI.PA","BUREAU VERITAS","Unknown","Paris"
"DGM.PA","Diagnostic Medical Systems","Unknown","Paris"
"DEC.PA","JC Decaux SA","Unknown","Paris"
"CU.PA","Club Mediterranee","Unknown","Paris"
"CIB.PA","Cibox Interactive SA","Unknown","Paris"
"NEX.PA","Nexans SA","Unknown","Paris"
"HBW.PA","Hubwoo","Unknown","Paris"
"IPN.PA","Ipsen SA","Unknown","Paris"
"GBB.PA","Bourbon SA","Unknown","Paris"
"MLPVG.PA","GROUPE PLUS-VALUES","Unknown","Paris"
"12038.PA","Recylex SA","Unknown","Paris"
