"Code","Symbol","Industry","Board"
"UCG.MI","Unicredit SpA","Unknown","Milan"
"ISPR.MI","INTESA SANPAOLO RSP","Unknown","Milan"
"ARE.MI","Arena S.p.A.","Unknown","Milan"
"BNS.MI","Beni Stabili SpA","Unknown","Milan"
"EEZ.MI","Eurofly SpA","Unknown","Milan"
"ITH.MI","IT Holding SpA","Unknown","Milan"
"TME.MI","Telecom Italia Media SpA","Unknown","Milan"
"VVE.MI","I Viaggi del Ventaglio SpA","Unknown","Milan"
"ISP.MI","Intesa Sanpaolo Spa","Unknown","Milan"
"TIT.MI","Telecom Italia Spa","Unknown","Milan"
"SFL.MI","Safilo Group SpA","Unknown","Milan"
"TIS.MI","Tiscali SpA","Unknown","Milan"
"IRD.MI","Iride SpA","Unknown","Milan"
"F.MI","Fiat Spa","Unknown","Milan"
"CHL.MI","Centro HL Distribuzione SpA","Unknown","Milan"
"RG.MI","Richard Ginori 1735 SpA","Unknown","Milan"
"EVE.MI","Vemer Siber Group SpA","Unknown","Milan"
"LR.MI","LANDI RENZO","Unknown","Milan"
"EUT.MI","Eutelia SpA","Unknown","Milan"
"REC.MI","Recordati","Unknown","Milan"
"TEN.MI","Tenaris SA","Unknown","Milan"
"CPR.MI","Davide Campari","Unknown","Milan"
"ENEL.MI","ENEL SPA","Unknown","Milan"
"PIA.MI","Piaggio & C. SpA","Unknown","Milan"
"IGD.MI","Immobiliare Grande Distribuzione SpA","Unknown","Milan"
"SN.MI","SNIA","Unknown","Milan"
"BRI.MI","Brioschi Finanziara","Unknown","Milan"
"SRN.MI","Sorin Spa","Unknown","Milan"
"EXP.MI","EXOR S.p.A. PRV.","Unknown","Milan"
"ENI.MI","ENI SpA","Unknown","Milan"
"PRO.MI","Banca Profilo SpA","Unknown","Milan"
"PC.MI","Pirelli Co","Unknown","Milan"
"IES.MI","Investimenti And Sviluppo","Unknown","Milan"
"SSI.MI","Sadi Servizi Industriali SpA","Unknown","Milan"
"AMP.MI","Amplifon SpA","Unknown","Milan"
"SNA.MI","SNAI SpA","Unknown","Milan"
"SPF.MI","Sopaf SpA","Unknown","Milan"
"RN.MI","Risanamento Napoli","Unknown","Milan"
"BNG.MI","Buongiorno SpA","Unknown","Milan"
"TFI.MI","Trevi Finanziaria Industriale","Unknown","Milan"
"IMS.MI","Immsi Spa","Unknown","Milan"
"MEC.MI","Management & Capitali","Unknown","Milan"
"MEL.MI","Meliorbanca SpA","Unknown","Milan"
"BMPS.MI","Banca Monte Dei Paschi","Unknown","Milan"
"ARN.MI","Alerion","Unknown","Milan"
"RM.MI","Reno de Medici SpA","Unknown","Milan"
"CMF.MI","Camfin","Unknown","Milan"
"COF.MI","Cofide","Unknown","Milan"
"STS.MI","Ansaldo STS SpA","Unknown","Milan"
"BAN.MI","Basicnet","Unknown","Milan"
"DAN.MI","Danieli","Unknown","Milan"
"BRE.MI","Brembo SpA","Unknown","Milan"
"AIC.MI","AICON","Unknown","Milan"
"DMT.MI","Digital Multimedia Technologies Spa","Unknown","Milan"
"KME.MI","KME GROUP","Unknown","Milan"
"TRV.MI","Trevisan","Unknown","Milan"
"DIS.MI","D'AMICO INTL SHIPP","Unknown","Milan"
"LIT.MI","RETELIT","Unknown","Milan"
"ITK.MI","Intek SPA","Unknown","Milan"
"ANM.MI","Anima S.G.R.p.A.","Unknown","Milan"
"ETH.MI","Eurotech SpA","Unknown","Milan"
"ONT.MI","OMNIA NETWORK","Unknown","Milan"
"AE.MI","Aedes SPA","Unknown","Milan"
"MF.MI","Montefibre SpA","Unknown","Milan"
"AST.MI","Astaldi SpA","Unknown","Milan"
"SSB.MI","SCREEN SERVICE","Unknown","Milan"
"IP.MI","Interpump Group SpA","Unknown","Milan"
"PLT.MI","Parmalat S.P.A","Unknown","Milan"
"KRE.MI","K.R.Energy S.p.A.","Unknown","Milan"
"EEMS.MI","EEMS Italia SpA","Unknown","Milan"
"PF.MI","Premafin Finanziaria","Unknown","Milan"
"DIA.MI","DIASORIN","Unknown","Milan"
"UNL.MI","UNI LAND","Unknown","Milan"
"IPG.MI","Impregilo SpA","Unknown","Milan"
"AP.MI","Antichi Pellettieri SpA","Unknown","Milan"
"CEM.MI","Cementir Holding SpA","Unknown","Milan"
"PRT.MI","Esprinet SpA","Unknown","Milan"
"APP.MI","Apulia Prontoprestito SpA","Unknown","Milan"
"EGR.MI","ERG Renew S.p.A.","Unknown","Milan"
"AEF.MI","AEFFE","Unknown","Milan"
"COB.MI","Cobra Automotive Technologies Spa","Unknown","Milan"
"UNI.MI","Unipol SpA","Unknown","Milan"
"EN.MI","ENIA","Unknown","Milan"
"ASR.MI","A S Roma","Unknown","Milan"
"ASC.MI","Ascopiave S.p.A.","Unknown","Milan"
"A2A.MI","A2A S.p.A.","Unknown","Milan"
"SCT.MI","Socotherm SpA","Unknown","Milan"
"BIA.MI","BIALETTI INDUSTRIE","Unknown","Milan"
"JUVE.MI","Juventus Football Club SpA","Unknown","Milan"
"PEL.MI","Banca Popolare Eturia Lazi","Unknown","Milan"
"SIS.MI","SIAS Spa","Unknown","Milan"
"BPSO.MI","Banca Popolare Di Sondrio","Unknown","Milan"
"BFE.MI","Banca Finnat","Unknown","Milan"
"BE.MI","Beghelli SPA","Unknown","Milan"
"KRS.MI","KERSELF","Unknown","Milan"
"XPR.MI","Exprivia S.p.A.","Unknown","Milan"
"BPE.MI","Banca Popolare dell'Emilia Romagna","Unknown","Milan"
"CARR.MI","Carraro SpA","Unknown","Milan"
"SAVE.MI","Save Aeroporto di venezia","Unknown","Milan"
"ZV.MI","ZIGNAGO VETRO","Unknown","Milan"
"BP.MI","BANCO POPOLARE","Unknown","Milan"
"B.MI","BASTOGI","Unknown","Milan"
"SO.MI","Sogefi SpA","Unknown","Milan"
"PFG.MI","Poltrona Frau SpA","Unknown","Milan"
"ELC.MI","Elica SpA","Unknown","Milan"
"BIM.MI","BCA Intermobiliare","Unknown","Milan"
"MARR.MI","Marr Spa","Unknown","Milan"
"CLE.MI","Class Editori SpA","Unknown","Milan"
"MHE.MI","Mondo Home Entertainment S.p.A.","Unknown","Milan"
"CED.MI","Caltagirone Editore SpA","Unknown","Milan"
"STEF.MI","Stefanel SpA","Unknown","Milan"
"BSS.MI","Biesse SpA","Unknown","Milan"
"BGN.MI","Banca Generali SpA","Unknown","Milan"
"ACT.MI","Actelios SpA","Unknown","Milan"
"UCGR.MI","UNICREDIT RSP","Unknown","Milan"
"TRN.MI","Terna","Unknown","Milan"
"YSE.MI","S.E.I.","Unknown","Milan"
"HER.MI","Hera","Unknown","Milan"
"IGV.MI","I Grandi Viaggi SpA","Unknown","Milan"
"G.MI","Assicurazioni Generali SpA","Unknown","Milan"
"MS.MI","Mediaset SpA","Unknown","Milan"
"PQ.MI","PIQUADRO","Unknown","Milan"
"SOL.MI","SOL SpA","Unknown","Milan"
"SSL.MI","Lazio","Unknown","Milan"
"SPM.MI","Saipem SpA","Unknown","Milan"
"CC.MI","Ciccolella SpA","Unknown","Milan"
"FNC.MI","Finmeccanica SpA","Unknown","Milan"
"CAI.MI","CAIRO COMMUNICATION","Unknown","Milan"
"FNM.MI","FNM SpA","Unknown","Milan"
"SRG.MI","SNAM Rete Gas SpA","Unknown","Milan"
"TIP.MI","Tamburi Investment Partners S.p.A.","Unknown","Milan"
"COG.MI","COGEME SET","Unknown","Milan"
"OLI.MI","Olidata SpA","Unknown","Milan"
"MBFG.MI","Mariella Burani","Unknown","Milan"
"RAT.MI","Ratti SpA","Unknown","Milan"
"CRA.MI","Credito Artigiano SpA","Unknown","Milan"
"CIR.MI","CIR","Unknown","Milan"
"EDN.MI","Edison Spa","Unknown","Milan"
"ECA.MI","ERGYCAPITAL","Unknown","Milan"
"GEM.MI","Gemina","Unknown","Milan"
"GCN.MI","Gruppo Coin SpA","Unknown","Milan"
"YRC.MI","RAFFAELE CARUSO","Unknown","Milan"
"DLG.MI","De Longhi SpA","Unknown","Milan"
"MCL.MI","Marcolin SpA","Unknown","Milan"
"CNP.MI","CONAFI PRESTITO","Unknown","Milan"
"ES.MI","Gruppo Editoriale L'Espresso SpA","Unknown","Milan"
"DMN.MI","DAMIANI","Unknown","Milan"
"IF.MI","IFIS","Unknown","Milan"
