"Code","Symbol","Industry","Board"
"7777.T","3-D Matrix Ltd","Unknown","Tokyo"
"3726.T","4Cs Holdings Co Ltd","Unknown","Tokyo"
"5391.T","A&A Material Corp","Unknown","Tokyo"
"7745.T","A&D Company, Limited.","Unknown","Tokyo"
"6722.T","A&T Corporation","Unknown","Tokyo"
"6156.T","A-ONE SEIMITSU INC.","Unknown","Tokyo"
"3250.T","A.D.Works Co., Ltd.","Unknown","Tokyo"
"2670.T","ABC-Mart Inc","Unknown","Tokyo"
"2498.T","ACKG Limited","Unknown","Tokyo"
"6888.T","ACMOS INC.","Unknown","Tokyo"
"6840.T","ADTEC Corporation","Unknown","Tokyo"
"6260.T","ADTEC Engineering Co Ltd","Unknown","Tokyo"
"7463.T","ADVAN CO., LTD.","Unknown","Tokyo"
"5998.T","ADVANEX INC.","Unknown","Tokyo"
"8905.T","AEON Mall Co., Ltd.","Unknown","Tokyo"
"2927.T","AFC-HD AMS Life Science Co Ltd","Unknown","Tokyo"
"8686.T","AFLAC Incorporated","Unknown","Tokyo"
"9377.T","AGP CORPORATION","Unknown","Tokyo"
"4799.T","AGREX Inc.","Unknown","Tokyo"
"3648.T","AGS Corp","Unknown","Tokyo"
"2907.T","AHJIKAN CO.,LTD.","Unknown","Tokyo"
"5852.T","AHRESTY CORPORATION","Unknown","Tokyo"
"8515.T","AIFUL CORPORATION","Unknown","Tokyo"
"9909.T","AIKO CORPORATION","Unknown","Tokyo"
"9627.T","AIN PHARMACIEZ INC.","Unknown","Tokyo"
"6718.T","AIPHONE CO., LTD.","Unknown","Tokyo"
"8864.T","AIRPORT FACILITIES Co., LTD.","Unknown","Tokyo"
"6291.T","AIRTECH JAPAN, LTD.","Unknown","Tokyo"
"7283.T","AISAN INDUSTRY CO., LTD.","Unknown","Tokyo"
"4667.T","AISAN TECHNOLOGY CO., LTD.","Unknown","Tokyo"
"7259.T","AISIN SEIKI CO., LTD.","Unknown","Tokyo"
"9381.T","AIT CORPORATION","Unknown","Tokyo"
"8708.T","AIZAWA SECURITIES CO., LTD.","Unknown","Tokyo"
"4659.T","AJIS CO., LTD.","Unknown","Tokyo"
"7475.T","ALBIS Co., Ltd.","Unknown","Tokyo"
"3036.T","ALCONIX CORPORATION","Unknown","Tokyo"
"5933.T","ALINCO INCORPORATED","Unknown","Tokyo"
"6835.T","ALLIED TELESIS HOLDINGS K.K.","Unknown","Tokyo"
"5928.T","ALMETAX MANUFACTURING CO., LTD.","Unknown","Tokyo"
"4760.T","ALPHA CO., LTD.","Unknown","Tokyo"
"4719.T","ALPHA SYSTEMS INC.","Unknown","Tokyo"
"9972.T","ALTECH CO., LTD.","Unknown","Tokyo"
