"Code","Symbol","Industry","Board"
"058220.KQ","ARION","Unknown","KOSDAQ"
"036180.KQ","YOUNG IN F.T","Unknown","KOSDAQ"
"052310.KQ","H1BIO","Unknown","KOSDAQ"
"078140.KQ","Daebongls","Unknown","KOSDAQ"
"036480.KQ","DSMBIO","Unknown","KOSDAQ"
"033430.KQ","NEXSCIEN","Unknown","KOSDAQ"
"037550.KQ","Clustar","Unknown","KOSDAQ"
"032280.KQ","SamIl","Unknown","KOSDAQ"
"030190.KQ","kisinfo","Unknown","KOSDAQ"
"091970.KQ","Nano Chem Tech","Unknown","KOSDAQ"
"044060.KQ","JOKWANG ILI","Unknown","KOSDAQ"
"085670.KQ","NEWFLEX","Unknown","KOSDAQ"
"020560.KQ","020560.KQ","Unknown","Unknown"
"050050.KQ","UI Energy Corp.","Unknown","KOSDAQ"
"092460.KQ","HANLA","Unknown","KOSDAQ"
"039310.KQ","SJNT","Unknown","KOSDAQ"
"035600.KQ","INICIS","Unknown","KOSDAQ"
"035810.KQ","EASY BIO","Unknown","KOSDAQ"
"080570.KQ","ICC","Unknown","KOSDAQ"
"030960.KQ","Yangjisa","Unknown","KOSDAQ"
"039340.KQ","WOW","Unknown","KOSDAQ"
"040610.KQ","SG&G","Unknown","KOSDAQ"
"080140.KQ","LUMEND","Unknown","KOSDAQ"
"054920.KQ","SoftForum","Unknown","KOSDAQ"
"014100.KQ","BRM","Unknown","KOSDAQ"
"012650.KQ","SsangyongE&C","Unknown","KOSDAQ"
"043100.KQ","SOLCO","Unknown","KOSDAQ"
"047080.KQ","HBS","Unknown","KOSDAQ"
"035950.KQ","KR","Unknown","KOSDAQ"
"025320.KQ","Synopex","Unknown","KOSDAQ"
"071360.KQ","NHE","Unknown","KOSDAQ"
"058480.KQ","HAE WON S.T","Unknown","KOSDAQ"
"017650.KQ","DaelimPaper","Unknown","KOSDAQ"
"065350.KQ","SSDELTATECH","Unknown","KOSDAQ"
"036490.KQ","SODIFF","Unknown","KOSDAQ"
"051490.KQ","NARA M&D","Unknown","KOSDAQ"
"065560.KQ","SUNDOSOFT","Unknown","KOSDAQ"
"059090.KQ","KoMiCo","Unknown","KOSDAQ"
"048260.KQ","OSSTEMIMPLANT","Unknown","KOSDAQ"
"034230.KQ","Paradise","Unknown","KOSDAQ"
"008830.KQ","DaedongGear","Unknown","KOSDAQ"
"042940.KQ","LENECO","Unknown","KOSDAQ"
"019640.KQ","HEEHOON D&G","Unknown","KOSDAQ"
"026230.KQ","IDH","Unknown","KOSDAQ"
"043370.KQ","PHA","Unknown","KOSDAQ"
"022520.KQ","KIC","Unknown","KOSDAQ"
"032620.KQ","UBCARE","Unknown","KOSDAQ"
"044640.KQ","Dongbu CNI","Unknown","KOSDAQ"
"040670.KQ","WISEPOWER CO.LTD","Unknown","KOSDAQ"
"037320.KQ","SLGREEN","Unknown","KOSDAQ"
"005860.KQ","HanilFeed","Unknown","KOSDAQ"
"038320.KQ","Oullim","Unknown","KOSDAQ"
"048510.KQ","Testech","Unknown","KOSDAQ"
"089150.KQ","KCI","Unknown","KOSDAQ"
"038530.KQ","CoreCross","Unknown","KOSDAQ"
"015050.KQ","Visionhightech","Unknown","KOSDAQ"
"017000.KQ","ShinwonConst","Unknown","KOSDAQ"
"023900.KQ","Pungguk","Unknown","KOSDAQ"
"046400.KQ","DVS","Unknown","KOSDAQ"
"008800.KQ","Haengnam","Unknown","KOSDAQ"
"035460.KQ","KisanTelecom","Unknown","KOSDAQ"
"043200.KQ","PARU","Unknown","KOSDAQ"
"019210.KQ","YG-1","Unknown","KOSDAQ"
"012790.KQ","Shinil Pharm","Unknown","KOSDAQ"
"065180.KQ","Isaac","Unknown","KOSDAQ"
"060150.KQ","INSUN ENT","Unknown","KOSDAQ"
"072530.KQ","SMT","Unknown","KOSDAQ"
"066270.KQ","SK Comms","Unknown","KOSDAQ"
"085370.KQ","Lutronic","Unknown","KOSDAQ"
"060670.KQ","SUNTRONIX","Unknown","KOSDAQ"
"036010.KQ","ABEL","Unknown","KOSDAQ"
"092730.KQ","Neopharm","Unknown","KOSDAQ"
"033885.KQ","Grandport(1P)","Unknown","KOSDAQ"
"031310.KQ","EYESVISION","Unknown","KOSDAQ"
"032960.KQ","DongilTech","Unknown","KOSDAQ"
"034750.KQ","034750.KQ","Unknown","Unknown"
"052270.KQ","HANDAN","Unknown","KOSDAQ"
"064550.KQ","BIONEER","Unknown","KOSDAQ"
"053350.KQ","INITECH","Unknown","KOSDAQ"
"032685.KQ","BTCKorea(1P)","Unknown","KOSDAQ"
"068060.KQ","KCW","Unknown","KOSDAQ"
"061250.KQ","HWAIL PHARM","Unknown","KOSDAQ"
"015170.KQ","CHOONGANGBIO","Unknown","KOSDAQ"
"051810.KQ","MOBO","Unknown","KOSDAQ"
"025460.KQ","FANTOMENT","Unknown","KOSDAQ"
"094850.KQ","Very Good Leisure","Unknown","KOSDAQ"
"036550.KQ","ACE DIGITECH","Unknown","KOSDAQ"
"036760.KQ","KNS HOLDINGS","Unknown","KOSDAQ"
"075130.KQ","PLANTYNET","Unknown","KOSDAQ"
"033050.KQ","JMI","Unknown","KOSDAQ"
"083550.KQ","KM","Unknown","KOSDAQ"
"047600.KQ","SEGYE TOUR","Unknown","KOSDAQ"
"049000.KQ","yedang","Unknown","KOSDAQ"
"056020.KQ","CUL 2","Unknown","KOSDAQ"
"031860.KQ","A-motion","Unknown","KOSDAQ"
"028300.KQ","INNO GDN","Unknown","KOSDAQ"
"046720.KQ","NHT","Unknown","KOSDAQ"
"069080.KQ","Webzen","Unknown","KOSDAQ"
"065420.KQ","MI","Unknown","KOSDAQ"
"044770.KQ","AMS","Unknown","KOSDAQ"
"004320.KQ","ULTRA CON","Unknown","KOSDAQ"
"032750.KQ","Samjin","Unknown","KOSDAQ"
"057500.KQ","SOLMICS","Unknown","KOSDAQ"
"016990.KQ","LGM","Unknown","KOSDAQ"
"066980.KQ","HICEL","Unknown","KOSDAQ"
"024060.KQ","Heungu","Unknown","KOSDAQ"
"066200.KQ","InnoBlue","Unknown","KOSDAQ"
"032800.KQ","G Learning","Unknown","KOSDAQ"
"041190.KQ","WTIC","Unknown","KOSDAQ"
"088800.KQ","ACE ANTENNA","Unknown","KOSDAQ"
"048410.KQ","HDIT","Unknown","KOSDAQ"
"078160.KQ","MEDIPOST","Unknown","KOSDAQ"
"037110.KQ","JS","Unknown","KOSDAQ"
"052420.KQ","OSUNG LST","Unknown","KOSDAQ"
"088020.KQ","Pentamicro","Unknown","KOSDAQ"
"036420.KQ","ISPLUS","Unknown","KOSDAQ"
"053450.KQ","SEKONIX","Unknown","KOSDAQ"
"025920.KQ","Wookyung","Unknown","KOSDAQ"
"074150.KQ","CHenergeering","Unknown","KOSDAQ"
"066850.KQ","IOCELL","Unknown","KOSDAQ"
"086390.KQ","UniTest","Unknown","KOSDAQ"
"007330.KQ","PUREUN S.BK.","Unknown","KOSDAQ"
"078350.KQ","HANYANG DIGI","Unknown","KOSDAQ"
"038810.KQ","POIBOS","Unknown","KOSDAQ"
"034010.KQ","Hwakin","Unknown","KOSDAQ"
"064090.KQ","Huviron","Unknown","KOSDAQ"
"060250.KQ","KCP","Unknown","KOSDAQ"
"041450.KQ","INNET","Unknown","KOSDAQ"
"039490.KQ","KIWOOM","Unknown","KOSDAQ"
"024910.KQ","Kyungchang","Unknown","KOSDAQ"
