"Code","Symbol","Industry","Board"
"INGA.AS","ING Groep","Unknown","Amsterdam"
"AGN.AS","Aegon","Unknown","Amsterdam"
"RDSA.AS","Royal Dutch Shell Group Plc","Unknown","Amsterdam"
"KPN.AS","KPN Koninklijke","Unknown","Amsterdam"
"AH.AS","AHOLD","Unknown","Amsterdam"
"PHIA.AS","Philips","Unknown","Amsterdam"
"ASML.AS","ASML HOLD","Unknown","Amsterdam"
"REN.AS","REED ELSEVIER","Unknown","Amsterdam"
"TNT.AS","TNT","Unknown","Amsterdam"
"TOM2.AS","Tom Tom","Unknown","Amsterdam"
"WHA.AS","WERELDHAVE NV PREF","Unknown","Amsterdam"
"WKL.AS","Wolters Kluwer","Unknown","Amsterdam"
"HEIA.AS","Heineken","Unknown","Amsterdam"
"DSM.AS","Koninklijke DSM","Unknown","Amsterdam"
"RAND.AS","Randstad","Unknown","Amsterdam"
"AKZA.AS","Akzo Nobel","Unknown","Amsterdam"
"SBMO.AS","SBM Offshore NV","Unknown","Amsterdam"
"ATVAM.AS","Antonov Plc","Unknown","Amsterdam"
"BAMNB.AS","Koninklijke BAM Groep NV","Unknown","Amsterdam"
"OCE.AS","OCE","Unknown","Amsterdam"
"WES.AS","Wessanen Kon","Unknown","Amsterdam"
"BOKA.AS","BOSKALIS WESTMINSTR","Unknown","Amsterdam"
"ORDI.AS","Ordina Nv","Unknown","Amsterdam"
"SR.AS","SNS Reaal Groep NV","Unknown","Amsterdam"
"USG.AS","USG People N.V.","Unknown","Amsterdam"
"FUR.AS","Fugro","Unknown","Amsterdam"
"AALB.AS","AALBERTS IND","Unknown","Amsterdam"
"IM.AS","IMTECH","Unknown","Amsterdam"
"HEIO.AS","Heineken Holding","Unknown","Amsterdam"
"ASM.AS","ASM International","Unknown","Amsterdam"
"CSM.AS","CSM NV SHS","Unknown","Amsterdam"
"AMG.AS","AMG ADV METAL","Unknown","Amsterdam"
"WAVIN.AS","WAVIN N.V.","Unknown","Amsterdam"
"PHARM.AS","Pharming Group Nv","Unknown","Amsterdam"
"NUO.AS","Nutreco Holding","Unknown","Amsterdam"
"OPG.AS","OPG GROEP       -A-","Unknown","Amsterdam"
"ECT.AS","Eurocastle Investment Ltd","Unknown","Amsterdam"
"DRAK.AS","Draka Holding","Unknown","Amsterdam"
"VPK.AS","Vopak Kon","Unknown","Amsterdam"
"QRIUS.AS","Qurius NV","Unknown","Amsterdam"
"BINCK.AS","Binckbank NV","Unknown","Amsterdam"
"TIE.AS","Tie Holding","Unknown","Amsterdam"
"MOO.AS","Moolen Holding Van Der","Unknown","Amsterdam"
"KPE.AS","KKR Private Equity Investors L.P.","Unknown","Amsterdam"
"TAAGM.AS","TELE ATLAS","Unknown","Amsterdam"
"KARD.AS","KARDAN NV","Unknown","Amsterdam"
"VRROG.AS","Vries Robbe De Groep","Unknown","Amsterdam"
"KQIP.AS","Kpnqwest","Unknown","Amsterdam"
"KTC.AS","Kon Ten Cate","Unknown","Amsterdam"
"SLIGR.AS","SLIGRO FOOD GROUP","Unknown","Amsterdam"
"INNOC.AS","Innoconcepts Nv","Unknown","Amsterdam"
"U4AGR.AS","Unit 4 Agresso","Unknown","Amsterdam"
"SDB.AS","SUPER DE BOER","Unknown","Amsterdam"
"VIVE.AS","VIVENDA MEDIA GR","Unknown","Amsterdam"
"SMIT.AS","Smit Internationale","Unknown","Amsterdam"
"SAMAS.AS","Samas NV","Unknown","Amsterdam"
"ROOD.AS","Rood Testhouse","Unknown","Amsterdam"
"GRONT.AS","GRONTMIJ CVA","Unknown","Amsterdam"
"EXACT.AS","Exact Holding","Unknown","Amsterdam"
"BGHL.AS","Boussard & Gavaudan Holding Ltd.","Unknown","Amsterdam"
"BALNE.AS","Ballast Nedam","Unknown","Amsterdam"
"BRNL.AS","Brunel International","Unknown","Amsterdam"
"NEDFI.AS","NEDFIELD N.V.","Unknown","Amsterdam"
"TWEKA.AS","TKH GROUP","Unknown","Amsterdam"
"PHSZZ.AS","PAN-EURO HOTEL","Unknown","Amsterdam"
"ERIKG.AS","Eriks Groep","Unknown","Amsterdam"
"DICO.AS","Dico International","Unknown","Amsterdam"
"HII.AS","HOMBURG INVT-A","Unknown","Amsterdam"
"GROL.AS","Grolsch","Unknown","Amsterdam"
"GAMMA.AS","Gamma Holding","Unknown","Amsterdam"
"BESI.AS","Be Semiconductor Industr.","Unknown","Amsterdam"
"PGX.AS","PUNCH GRAPHIX","Unknown","Amsterdam"
"CVG.AS","Cvg Crown Van Gelder","Unknown","Amsterdam"
"MACIN.AS","Macintosh","Unknown","Amsterdam"
"LBI.AS","LBI International AB","Unknown","Amsterdam"
"BGGA.AS","Koninklijke Begemann Groep NV","Unknown","Amsterdam"
"UNIA.AS","UNILEVER","Unknown","Amsterdam"
"HDG.AS","Hunter Douglas","Unknown","Amsterdam"
"HAL.AS","HAL Trust","Unknown","Amsterdam"
"FORBI.AS","Fornix Biosciences","Unknown","Amsterdam"
"CETEC.AS","Ceteco","Unknown","Amsterdam"
"ACOMO.AS","Amsterdam Commodities","Unknown","Amsterdam"
"OCTO.AS","OctoPlus N.V.","Unknown","Amsterdam"
"JETIX.AS","Jetix Europe Nv","Unknown","Amsterdam"
"BBED.AS","Beter Bed Holding","Unknown","Amsterdam"
"ICT.AS","Ict Automatisering","Unknown","Amsterdam"
"TELEG.AS","Telegraaf Media Groep","Unknown","Amsterdam"
"SPYKR.AS","Spyker Cars","Unknown","Amsterdam"
"AND.AS","And International Publisher","Unknown","Amsterdam"
"KA.AS","Kas Bank","Unknown","Amsterdam"
"BLFOX.AS","Blue Fox Enterprises","Unknown","Amsterdam"
"CTAC.AS","C/tac","Unknown","Amsterdam"
"ORANW.AS","Oranjewoud N.V.","Unknown","Amsterdam"
"MASH.AS","Management Share","Unknown","Amsterdam"
"LANS.AS","Van Lanschot","Unknown","Amsterdam"
"BAAN.AS","Baan Company","Unknown","Amsterdam"
"NEDAP.AS","NEDAP","Unknown","Amsterdam"
"SIMAC.AS","Simac Techniek","Unknown","Amsterdam"
"DOCD.AS","Docdata","Unknown","Amsterdam"
"KENDR.AS","KENDRION","Unknown","Amsterdam"
"HITT.AS","Hitt","Unknown","Amsterdam"
"AMT.AS","AMT HOLD","Unknown","Amsterdam"
"SCHUI.AS","Schuitema","Unknown","Amsterdam"
"YATRA.AS","YATRA CAPITAL","Unknown","Amsterdam"
"BMNCP.AS","KON.BAM GR.NCPA -F-","Unknown","Amsterdam"
"NEWAY.AS","Neways Electronics","Unknown","Amsterdam"
"STRN.AS","Stern Groep","Unknown","Amsterdam"
"CEXP.AS","CORP EXPRESS  CP A","Unknown","Amsterdam"
"RSDB.AS","RSDB N.V.","Unknown","Amsterdam"
"ALTMC.AS","The Member Company (TMC) NV","Unknown","Amsterdam"
"BATEN.AS","BATENBURG BEHEER","Unknown","Amsterdam"
"VDORA.AS","VEDIOR","Unknown","Amsterdam"
"AJAX.AS","Afc Ajax","Unknown","Amsterdam"
"EDCC.AS","European Development Capital Corp.","Unknown","Amsterdam"
"ALANH.AS","Alanheri","Unknown","Amsterdam"
"WEG.AS","Wegener","Unknown","Amsterdam"
"BRILL.AS","Brille Koninklijke","Unknown","Amsterdam"
"DPAFX.AS","Dpa Flex Group","Unknown","Amsterdam"
"HES.AS","HES Beheer NV","Unknown","Amsterdam"
"GAMMP.AS","GAMMA HOLD PREF","Unknown","Amsterdam"
"GOUDA.AS","Gouda Vuurvast Holding","Unknown","Amsterdam"
"PORF.AS","Porceleyne Fles","Unknown","Amsterdam"
"UNCP6.AS","UNILEVER 6 CPA","Unknown","Amsterdam"
"ALRRE.AS","Koninklijke Reesink N.V.","Unknown","Amsterdam"
"BAMCP.AS","KON.BAM GROEP CCP-F","Unknown","Amsterdam"
"GROHA.AS","Groot Handelsgebouwen","Unknown","Amsterdam"
"HOLCO.AS","Holland Colours","Unknown","Amsterdam"
"BEVER.AS","Bever Holding","Unknown","Amsterdam"
"UNCC7.AS","UNILEVER 7 PRF.CERT","Unknown","Amsterdam"
"UNCP4.AS","UNILEVER 4 PRF","Unknown","Amsterdam"
"NYLOP.AS","Nyloplast","Unknown","Amsterdam"
"ABAGB.AS","AAH","Unknown","Amsterdam"
"BRGR.AS","Brakke Grond(Expl Maatsch)N.V.","Unknown","Amsterdam"
"UNCP7.AS","UNILEVER 7 CP","Unknown","Amsterdam"
"FORA.AS","Fortis","Unknown","Amsterdam"
"MT.AS","ARCELORMITTAL REG","Unknown","Amsterdam"
"UNA.AS","Unilever Nv","Unknown","Amsterdam"
"RBS.AS","Royal Bank Of Scotland","Unknown","Amsterdam"
"MEURV.AS","Muenchener Rueck","Unknown","Amsterdam"
"BBV.AS","BBVA (Banco Bilbao)","Unknown","Amsterdam"
"IP.AS","International Paper","Unknown","Amsterdam"
"FOOTL.AS","Foot Locker Inc","Unknown","Amsterdam"
"MSHIA.AS","MITSUBISHI ELECTRIC","Unknown","Amsterdam"
"COLGA.AS","Colgate Palmolive Co.","Unknown","Amsterdam"
"UNPA.AS","Union Pacific Corp.","Unknown","Amsterdam"
"DOWCA.AS","Dow Chemical","Unknown","Amsterdam"
"GMA.AS","General Motors","Unknown","Amsterdam"
"IFF.AS","Intl Flavors Fragrances","Unknown","Amsterdam"
"GEN.AS","Assicurazioni Generali SpA","Unknown","Amsterdam"
"UNIS.AS","Unisys Corp CS","Unknown","Amsterdam"
"LOG.AS","Logica","Unknown","Amsterdam"
"CRXL.AS","Crucell","Unknown","Amsterdam"
"MO.AS","Altria Group Inc","Unknown","Amsterdam"
"SOPH.AS","Sopheon","Unknown","Amsterdam"
"ULA.AS","Unibail-Rodamco","Unknown","Amsterdam"
"GLPGA.AS","Galapagos N.V.","Unknown","Amsterdam"
"AFA.AS","Air France-KLM","Unknown","Amsterdam"
"ACCEL.AS","Accell Group","Unknown","Amsterdam"
"AXS.AS","Accsys Technologies Plc","Unknown","Amsterdam"
"SAYE.AS","SATYAM ADR","Unknown","Amsterdam"
"RDSB.AS","ROYAL DUTCH SHELL-B","Unknown","Amsterdam"
"HUNDP.AS","HUNTER DOUGLAS NV","Unknown","Amsterdam"
"NOKA.AS","Nokia Oyj","Unknown","Amsterdam"
"ALUA.AS","Alcatel-Lucent","Unknown","Amsterdam"
"TFA.AS","Telefonica","Unknown","Amsterdam"
"GAL1S.AS","GERMANY1 ACQ","Unknown","Amsterdam"
"TISN.AS","Tiscali SpA","Unknown","Amsterdam"
"RCUSA.AS","ARSEUS","Unknown","Amsterdam"
"NYXA.AS","NYSE EURONEXT","Unknown","Amsterdam"
"ONCOA.AS","OncoMethylome Sciences SA","Unknown","Amsterdam"
"VERIZ.AS","Verizon Communications","Unknown","Amsterdam"
"ORA.AS","Oreal (L')","Unknown","Amsterdam"
"SGOA.AS","Saint Gobain","Unknown","Amsterdam"
"FORDA.AS","Ford Motor CS","Unknown","Amsterdam"
"DTEL.AS","Deutsche Telekom AG","Unknown","Amsterdam"
"ALLA.AS","Allianz SE","Unknown","Amsterdam"
"FOBR.AS","Fortune Brands","Unknown","Amsterdam"
"SIA.AS","Siemens AG","Unknown","Amsterdam"
"CIS.AS","Cisco Systems Inc","Unknown","Amsterdam"
"MSF.AS","Microsoft Corp.","Unknown","Amsterdam"
"OCPET.AS","Occidental Petroleum Corp.","Unknown","Amsterdam"
"E-ON.AS","E.ON N","Unknown","Amsterdam"
"GNEA.AS","General Electric","Unknown","Amsterdam"
"BAMA.AS","BROOKFIELD LVTG-A","Unknown","Amsterdam"
"VALUE.AS","VALUE8","Unknown","Amsterdam"
"CSA.AS","AXA SA","Unknown","Amsterdam"
"INCO.AS","Intel Corp.","Unknown","Amsterdam"
"ENI.AS","ENI SpA","Unknown","Amsterdam"
"CAA.AS","Carrefour SA","Unknown","Amsterdam"
