"Code","Symbol","Industry","Board"
"ABA.NZ","Abano Healthcare","Unknown","NZSX"
"AFI.NZ","Australian Founda","Unknown","NZSX"
"AIA.NZ","Auckland Internat","Unknown","NZSX"
"AIR.NZ","Air New Zealand L","Unknown","NZSX"
"ALF.NZ","Allied Farmers Li","Unknown","NZSX"
"AMP.NZ","AMP Limited Ordin","Unknown","NZSX"
"ANO.NZ","AMP NZ Office Lim","Unknown","NZSX"
"ANZ.NZ","Australia and New Zealand Banki","Unknown","NZSX"
"APN.NZ","APN News & Media","Unknown","NZSX"
"ARG.NZ","Argosy Property T","Unknown","NZSX"
"ASBPA.NZ","ASB Capital Limit","Unknown","NZSX"
"ASBPB.NZ","ASB Capital No.2","Unknown","NZSX"
"AWF.NZ","AWF Group Limited","Unknown","NZSX"
"BGR.NZ","Briscoe Group Lim","Unknown","NZSX"
"BIT.NZ","The Bankers Inves","Unknown","NZSX"
"BLT.NZ","BLIS Technologies","Unknown","NZSX"
"BLTPA.NZ","BLIS Technologies","Unknown","NZSX"
"BPL.NZ","BROKEN HILL PROSP","Unknown","NZSX"
"BRM.NZ","Barramundi Limite","Unknown","NZSX"
"BRMWB.NZ","BRM 27/10/11 $0.7","Unknown","NZSX"
"BSH.NZ","Building Society","Unknown","NZSX"
"BTU.NZ","Bathurst Resource","Unknown","NZSX"
"CAV.NZ","Cavalier Corporat","Unknown","NZSX"
"CCC.NZ","Cavotec MSL Holdi","Unknown","NZSX"
"CDI.NZ","CDL Investments N","Unknown","NZSX"
"CDN.NZ","Caledonia Investm","Unknown","NZSX"
"CEN.NZ","Contact Energy Li","Unknown","NZSX"
"CENRA.NZ","Contact Energy Li","Unknown","NZSX"
"CHA.NZ","Charlie's Group L","Unknown","NZSX"
"CLA.NZ","Claridge Capital","Unknown","NZSX"
"CMO.NZ","The Colonial Moto","Unknown","NZSX"
"CUE.NZ","Cue Energy Resour","Unknown","NZSX"
"CVT.NZ","Comvita Limited O","Unknown","NZSX"
"DGL.NZ","Delegat's Group L","Unknown","NZSX"
"DIL.NZ","Diligent Board Me","Unknown","NZSX"
"DNZ.NZ","DNZ Property Fund","Unknown","NZSX"
"DOW.NZ","Downer EDI Limite","Unknown","NZSX"
"DPC.NZ","Dorchester Pacifi","Unknown","NZSX"
"DPCOA.NZ","DPCOA.NZ","Unknown","NZSX"
"EBO.NZ","Ebos Group Limite","Unknown","NZSX"
"ECO.NZ","Ecoya Limited Ord","Unknown","NZSX"
"ECOWA.NZ","Ecoya Limited War","Unknown","NZSX"
"ECOWB.NZ","Ecoya Limited War","Unknown","NZSX"
"EUT.NZ","The European Inve","Unknown","NZSX"
"EWC.NZ","Energy World Corp","Unknown","NZSX"
"FBU.NZ","Fletcher Building","Unknown","NZSX"
"FCS.NZ","F&C Global Smalle","Unknown","NZSX"
"FCT.NZ","Foreign & Colonial Investment T","Unknown","NZSX"
"FIN.NZ","Finzsoft Solution","Unknown","NZSX"
"FNZ.NZ","SmartFONZ","Unknown","NZSX"
"FPA.NZ","Fisher & Paykel A","Unknown","NZSX"
"FPH.NZ","Fisher & Paykel Healthcare Corp","Unknown","NZSX"
"FRE.NZ","Freightways Limit","Unknown","NZSX"
"GEN.NZ","Genesis Research & Development","Unknown","NZSX"
"GFF.NZ","Goodman Fielder L","Unknown","NZSX"
"GLL.NZ","GuocoLeisure Limi","Unknown","NZSX"
"GMT.NZ","Goodman Property","Unknown","NZSX"
"GPG.NZ","Guinness Peat Gro","Unknown","NZSX"
"HBY.NZ","Hellaby Holdings","Unknown","NZSX"
"HED.NZ","Horizon Energy Di","Unknown","NZSX"
"HFL.NZ","Henderson Far Eas","Unknown","NZSX"
"HGD.NZ","Heritage Gold NZ","Unknown","NZSX"
"HLG.NZ","Hallenstein Glass","Unknown","NZSX"
"HRP.NZ","Henderson TR Paci","Unknown","NZSX"
"IFT.NZ","Infratil Limited","Unknown","NZSX"
"IFTWC.NZ","IFT 29/06/12 $4.2","Unknown","NZSX"
"INP.NZ","Independent News","Unknown","NZSX"
"INS.NZ","Insured Group Lim","Unknown","NZSX"
"JFJ.NZ","JPMorgan Japanese","Unknown","NZSX"
"JMO.NZ","JPMorgan Overseas","Unknown","NZSX"
"KFL.NZ","Kingfish Limited","Unknown","NZSX"
"KFLWB.NZ","Kingfish Limited","Unknown","NZSX"
"KIP.NZ","Kiwi Income Prope","Unknown","NZSX"
"KIPGC.NZ","Kiwi Income Property Trust","Unknown","NZSX"
"KMD.NZ","Kathmandu Holding","Unknown","NZSX"
"KPF.NZ","Kermadec Property","Unknown","NZSX"
"KRK.NZ","Kirkcaldie & Stai","Unknown","NZSX"
"LME.NZ","L&M Energy Limite","Unknown","NZSX"
"LPC.NZ","Lyttelton Port Co","Unknown","NZSX"
"MCK.NZ","Millennium & Copt","Unknown","NZSX"
"MDZ.NZ","SmartMIDZ","Unknown","NZSX"
"MET.NZ","Metlifecare Limit","Unknown","NZSX"
"MFT.NZ","Mainfreight Limit","Unknown","NZSX"
"MGL.NZ","Mercer Group Limi","Unknown","NZSX"
"MHI.NZ","Michael Hill Inte","Unknown","NZSX"
"MLN.NZ","Marlin Global Lim","Unknown","NZSX"
"MOW.NZ","Mowbray Collectab","Unknown","NZSX"
"MVN.NZ","Methven Limited O","Unknown","NZSX"
"MZY.NZ","SmartMOZY","Unknown","NZSX"
"NEW.NZ","New Image Group L","Unknown","NZSX"
"NPT.NZ","NPT Limited Ordin","Unknown","NZSX"
"NPX.NZ","Nuplex Industries","Unknown","NZSX"
"NTH.NZ","Northland Port Co","Unknown","NZSX"
"NWF.NZ","NZ Windfarms Limi","Unknown","NZSX"
"NZE.NZ","New Zealand Exper","Unknown","NZSX"
"NZF.NZ","NZF Group Limited","Unknown","NZSX"
"NZO.NZ","New Zealand Oil &","Unknown","NZSX"
"NZR.NZ","The New Zealand Refining Compan","Unknown","NZSX"
"NZS.NZ","NZ Farming System","Unknown","NZSX"
"NZX.NZ","NZX Limited Ordin","Unknown","NZSX"
"OGC.NZ","OceanaGold Corpor","Unknown","NZSX"
"OIC.NZ","Opus Internationa","Unknown","NZSX"
"OZY.NZ","SmartOZZY","Unknown","NZSX"
"PBG.NZ","Pacific Brands Li","Unknown","NZSX"
"PEB.NZ","Pacific Edge Limi","Unknown","NZSX"
"PFI.NZ","Property For Indu","Unknown","NZSX"
"PGC.NZ","Pyne Gould Corpor","Unknown","NZSX"
"PGW.NZ","PGG Wrightson Lim","Unknown","NZSX"
"PHB.NZ","Pharmacybrands Li","Unknown","NZSX"
