"Code","Symbol","Industry","Board"
"DNO.OL","DNO International ASA","Unknown","Oslo"
"STL.OL","StatoilHydro ASA","Unknown","Oslo"
"NHY.OL","Norsk Hydro ASA","Unknown","Oslo"
"PDR.OL","Petrolia Drilling AS","Unknown","Oslo"
"IGE.OL","International Gold Explor","Unknown","Oslo"
"IGNIS.OL","Ignis Asa","Unknown","Oslo"
"TEL.OL","Telenor ASA","Unknown","Oslo"
"RGT.OL","Rocksource Asa","Unknown","Oslo"
"CRU.OL","CREW GOLD","Unknown","Oslo"
"SDRL.OL","Seadrill Ltd.","Unknown","Oslo"
"GOGL.OL","Golden Ocean Group","Unknown","Oslo"
"DNBNOR.OL","DnB NOR ASA","Unknown","Oslo"
"NEC.OL","Norse Energy Corporation ASA","Unknown","Oslo"
"STB.OL","Storebrand ASA","Unknown","Oslo"
"ACY.OL","Acergy SA","Unknown","Oslo"
"CNR.OL","Canargo Energy","Unknown","Oslo"
"YAR.OL","Yara International ASA","Unknown","Oslo"
"TOM.OL","Tomra Systems ASA","Unknown","Oslo"
"ASC.OL","ABG Sundal Collier Holding ASA","Unknown","Oslo"
"TAA.OL","TANDBERG ASA","Unknown","Oslo"
"NPRO.OL","Norwegian Property AS","Unknown","Oslo"
"JIN.OL","Jinhui Shipping & Trans","Unknown","Oslo"
"NSG.OL","Norske Skogindustrier ASA","Unknown","Oslo"
"TGS.OL","Tgs Nopec Geophysical","Unknown","Oslo"
"ACTA.OL","Acta Holding ASA","Unknown","Oslo"
"PAR.OL","PA Resources AB","Unknown","Oslo"
"PGS.OL","Petroleum Geo Services","Unknown","Oslo"
"SUB.OL","Subsea 7 Inc.","Unknown","Oslo"
"QEC.OL","QUESTERRE ENERGY-A","Unknown","Oslo"
"REC.OL","Renewable Energy Corporation AS","Unknown","Oslo"
"GGS.OL","Global Geo Services Asa","Unknown","Oslo"
"FRO.OL","Frontline","Unknown","Oslo"
"SONG.OL","Songa Offshore SE","Unknown","Oslo"
"ORK.OL","Orkla ASA","Unknown","Oslo"
"CRU-R.OL","CREW GOLD-RSTR","Unknown","Oslo"
"SIT.OL","Simrad Optronics ASA","Unknown","Oslo"
"FOE.OL","Fred Olsen Energy","Unknown","Oslo"
"ITE.OL","Itera","Unknown","Oslo"
"APP.OL","Apptix Asa","Unknown","Oslo"
"SBX.OL","SeaBird Exploration Ltd","Unknown","Oslo"
"BIRD.OL","Birdstep Technology ASA","Unknown","Oslo"
"TAD.OL","Tandberg Data ASA","Unknown","Oslo"
"SIOFF.OL","Siem Offshore","Unknown","Oslo"
"SCORE.OL","Scorpion Offshore Ltd.","Unknown","Oslo"
"SEVAN.OL","Sevan Marine ASA","Unknown","Oslo"
"AKER.OL","Aker Asa","Unknown","Oslo"
"CEQ.OL","Cermaq Asa","Unknown","Oslo"
"SNI.OL","Stolt Nielsen","Unknown","Oslo"
"SCI.OL","Scana Industrier ASA","Unknown","Oslo"
"GOD.OL","Goodtech ASA","Unknown","Oslo"
"OPERA.OL","Opera Software ASA","Unknown","Oslo"
"BLO.OL","Blom ASA","Unknown","Oslo"
"PRS.OL","PROSAFE","Unknown","Oslo"
"MAMUT.OL","Mamut ASA","Unknown","Oslo"
"KIT.OL","Kitron ASA","Unknown","Oslo"
"DAT.OL","Data Respons ASA","Unknown","Oslo"
"RIE.OL","Rieber & Son","Unknown","Oslo"
"ECHEM.OL","Eitzen Chemical Asa","Unknown","Oslo"
"HEX.OL","Hexagon Composites ASA","Unknown","Oslo"
"BWO.OL","BW Offshore Ltd.","Unknown","Oslo"
"ELT.OL","Eltek ASA","Unknown","Oslo"
"SCH.OL","Schibsted ASA","Unknown","Oslo"
"DIAG.OL","DiaGenic ASA","Unknown","Oslo"
"FAIR.OL","Fairstar Heavy Transport N.V.","Unknown","Oslo"
"INM.OL","Inmeta ASA","Unknown","Oslo"
"QFR.OL","Q Free","Unknown","Oslo"
"NAVA.OL","Navamedic ASA","Unknown","Oslo"
"FARA.OL","Fara ASA","Unknown","Oslo"
"OTR.OL","Otrum ASA","Unknown","Oslo"
"TST.OL","Tandberg Storage ASA","Unknown","Oslo"
"AGR.OL","AGR Group ASA","Unknown","Oslo"
"MAFA.OL","Marine Farms AS","Unknown","Oslo"
"LSG.OL","Leroy Seafood Group","Unknown","Oslo"
"TCO.OL","Telecomputing ASA","Unknown","Oslo"
"EMS.OL","Eitzen Maritime Services ASA","Unknown","Oslo"
"SFM.OL","Synnove Finden ASA","Unknown","Oslo"
"VEI.OL","Veidekke ASA","Unknown","Oslo"
"IOX.OL","Interoil AS","Unknown","Oslo"
"COD.OL","Codfarmers ASA","Unknown","Oslo"
"EDBASA.OL","EDB Business Partner ASA","Unknown","Oslo"
"PSI.OL","PSI Group ASA","Unknown","Oslo"
"AGI.OL","ARTUMAS GROUP","Unknown","Oslo"
"AUSS.OL","Austevoll Seafood ASA","Unknown","Oslo"
"BEL.OL","Belships Company","Unknown","Oslo"
"TTS.OL","Tts Marine Technology Asa","Unknown","Oslo"
"ODIM.OL","Odim Asa","Unknown","Oslo"
"BWG.OL","BWG Homes ASA","Unknown","Oslo"
"NOD.OL","Nordic Semiconductor ASA","Unknown","Oslo"
"AIK.OL","Aktiv Kapital ASA","Unknown","Oslo"
"GOL.OL","Golar LNG","Unknown","Oslo"
"BMA.OL","Byggma ASA","Unknown","Oslo"
"KOM.OL","Komplett ASA","Unknown","Oslo"
"HNB.OL","HAFSLUND -B-","Unknown","Oslo"
"GRR.OL","Green Reefers ASA","Unknown","Oslo"
"GGG.OL","Grenland Group ASA","Unknown","Oslo"
"NAUR.OL","NORTHLAND RESOURCES","Unknown","Oslo"
"NUT.OL","Nutri Pharma ASA","Unknown","Oslo"
"AKVA.OL","Akva Group Asa","Unknown","Oslo"
"CECO.OL","Camillo Eitzen & Co","Unknown","Oslo"
"PHO.OL","Photocure Asa","Unknown","Oslo"
"MING.OL","Sparebanken Midt Norge","Unknown","Oslo"
"TECO.OL","TECO Maritime ASA","Unknown","Oslo"
"KOA.OL","Kongsberg Automotive Holding ASA","Unknown","Oslo"
"BIOTEC.OL","Biotec Pharmacon","Unknown","Oslo"
"SOI.OL","Software Innovation Asa","Unknown","Oslo"
"MEC.OL","Medi Cult","Unknown","Oslo"
"DOF.OL","DOF ASA","Unknown","Oslo"
"NAS.OL","Norwegian Air Shuttle Asa","Unknown","Oslo"
"GRO.OL","Ganger Rolf ASA","Unknown","Oslo"
"DOM.OL","Domstein ASA","Unknown","Oslo"
"EKO.OL","Ekornes ASA","Unknown","Oslo"
"SOFF.OL","Solstad Offshore ASA","Unknown","Oslo"
"AKFP.OL","Aker Floating Production ASA","Unknown","Oslo"
"ODF.OL","Odfjell ASA","Unknown","Oslo"
"ROGG.OL","Sparebank 1 SR-Bank","Unknown","Oslo"
"IMAREX.OL","IMAREX ASA","Unknown","Oslo"
"TELIO.OL","Telio AS","Unknown","Oslo"
"WWI.OL","Wilh Wilhelmsen","Unknown","Oslo"
"HAVI.OL","Havila Shipping ASA","Unknown","Oslo"
"CLAVIS.OL","Clavis Pharma ASA","Unknown","Oslo"
"HRG.OL","Hurtigruten AS","Unknown","Oslo"
"BON.OL","Bonheur ASA","Unknown","Oslo"
"DOLP.OL","Dolphin Interconnect Solutions AS","Unknown","Oslo"
"BJORGE.OL","Bjorge","Unknown","Oslo"
"IMSK.OL","I.M. Skaugen SE","Unknown","Oslo"
"JACK.OL","Petrojack ASA","Unknown","Oslo"
"NORD.OL","Nordiag","Unknown","Oslo"
"FAR.OL","Farstad Shipping ASA","Unknown","Oslo"
"MEDI.OL","Medi-Stim ASA","Unknown","Oslo"
"EIOF.OL","Eidesvik Offshore ASA","Unknown","Oslo"
"FUNCOM.OL","Funcom N.V","Unknown","Oslo"
"KVE.OL","Kverneland","Unknown","Oslo"
"BLU.OL","Bluewater Insurance Asa","Unknown","Oslo"
"NONG.OL","SpareBank 1 Nord-Norge","Unknown","Oslo"
"COV.OL","Context Vision AB","Unknown","Oslo"
"SRI.OL","Star Reefers Inc.","Unknown","Oslo"
"AKS.OL","Aker Seafoods Asa","Unknown","Oslo"
"NORMAN.OL","Norman Asa","Unknown","Oslo"
"EID.OL","Eidsiva Rederi","Unknown","Oslo"
"OLT.OL","Olav Thon Eiendomsselska","Unknown","Oslo"
"HELG.OL","Helgeland Sparebank Asa","Unknown","Oslo"
"HJE.OL","Hjellegjerde ASA","Unknown","Oslo"
"SOLV.OL","Solvang ASA","Unknown","Oslo"
"RVSBG.OL","Rygge Vaaler Sparebank","Unknown","Oslo"
"KOG.OL","Kongsberg Gruppen ASA","Unknown","Oslo"
"SKI.OL","Skiens Aktiemoelle","Unknown","Oslo"
"WILS.OL","Wilson Asa","Unknown","Oslo"
"POWEL.OL","Powel ASA","Unknown","Oslo"
"STA.OL","Stavanger Aftenblad ASA","Unknown","Oslo"
"MORG.OL","Sparebanken More","Unknown","Oslo"
"LUX.OL","Luxo ASA","Unknown","Oslo"
