"Code","Symbol","Industry","Board"
"SAN.MC","Banco Santander SA","Unknown","MercadoContinuo"
"BBVA.MC","BBVA (Banco Bilbao)","Unknown","MercadoContinuo"
"BIBE.MC","IBERDROLA","Unknown","MercadoContinuo"
"TEF.MC","Telefonica","Unknown","MercadoContinuo"
"JAZ.MC","Jazztel","Unknown","MercadoContinuo"
"CAR.MC","Carrefour SA","Unknown","MercadoContinuo"
"COL.MC","Inmobiliaria Colonial SA","Unknown","MercadoContinuo"
"IBR.MC","IBERDROLA RENOVABLE","Unknown","MercadoContinuo"
"IBLA.MC","Iberia","Unknown","MercadoContinuo"
"POP.MC","Banco Popular Espanol","Unknown","MercadoContinuo"
"REP.MC","Repsol","Unknown","MercadoContinuo"
"MAP.MC","Mapfre SA","Unknown","MercadoContinuo"
"SAB.MC","BANCO SABADELL R","Unknown","MercadoContinuo"
"GAM.MC","Gamesa Corp Technologica SA","Unknown","MercadoContinuo"
"CRI.MC","CRIT.CAIXACORP","Unknown","MercadoContinuo"
"GAS.MC","Gas Natural SDG SA","Unknown","MercadoContinuo"
"CIN.MC","Cintra","Unknown","MercadoContinuo"
"GRF.MC","Grifols SA","Unknown","MercadoContinuo"
"BKT.MC","BANKINTER R","Unknown","MercadoContinuo"
"AVZ.MC","Avanzit SA","Unknown","MercadoContinuo"
"AFR.MC","Afirma Grupo Inmobiliario SA","Unknown","MercadoContinuo"
"ABE.MC","Abertis","Unknown","MercadoContinuo"
"PRS.MC","Grupo Prisa","Unknown","MercadoContinuo"
"BTL.MC","Gestevision Telecinco","Unknown","MercadoContinuo"
"ITX.MC","Inditex","Unknown","MercadoContinuo"
"ENG.MC","Enagas","Unknown","MercadoContinuo"
"ACX.MC","Acerinox SA","Unknown","MercadoContinuo"
"ZEL.MC","Zeltia Sa","Unknown","MercadoContinuo"
"SOS.MC","Sos Corporacion Alimentaria SA","Unknown","MercadoContinuo"
"12514001.MC","Ercros SA","Unknown","MercadoContinuo"
"BME.MC","Bolsas y Mercados Espanoles SA","Unknown","MercadoContinuo"
"FER.MC","Grupo Ferrovial SA","Unknown","MercadoContinuo"
"IDR.MC","Indra Sistemas SA","Unknown","MercadoContinuo"
"NHH.MC","NH Hoteles SA","Unknown","MercadoContinuo"
"ELE.MC","Endesa (Empresa Nacional)","Unknown","MercadoContinuo"
"ACS.MC","Acs Activid. De Constru S.","Unknown","MercadoContinuo"
"UBS.MC","Urbas Guardahermosa SA","Unknown","MercadoContinuo"
"A3TV.MC","Antena 3 Television SA","Unknown","MercadoContinuo"
"FCC.MC","Fomento Const y Contr(Fcc","Unknown","MercadoContinuo"
"BTO.MC","Banco Espanol Credito (Banesto)","Unknown","MercadoContinuo"
"REE.MC","Red Electrica Corp. S.A.","Unknown","MercadoContinuo"
"ECR.MC","ERCROS","Unknown","MercadoContinuo"
"TUB.MC","Tubacex SA","Unknown","MercadoContinuo"
"SLR.MC","SOLARIA ENERGIA","Unknown","MercadoContinuo"
"TRE.MC","Tecnicas Reunidas SA","Unknown","MercadoContinuo"
"SNC.MC","Sniace Aplicaciones Celul","Unknown","MercadoContinuo"
"VLG.MC","Vueling Airlines SA","Unknown","MercadoContinuo"
"NTC.MC","Natraceutical SA","Unknown","MercadoContinuo"
"ABG.MC","Abengoa SA","Unknown","MercadoContinuo"
"SYV.MC","Sacyr Y Vallehermoso","Unknown","MercadoContinuo"
"EVA.MC","Ebro Puleva SA","Unknown","MercadoContinuo"
"ENC.MC","ENCE","Unknown","MercadoContinuo"
"SOL.MC","Sol Melia SA","Unknown","MercadoContinuo"
"BVA.MC","BCO DE VALENCIA R","Unknown","MercadoContinuo"
"TRG.MC","TUBOS REUNIDOS","Unknown","MercadoContinuo"
"ANA.MC","Grupo Acciona","Unknown","MercadoContinuo"
"ALM.MC","ALMIRALL","Unknown","MercadoContinuo"
"FAE.MC","Faes","Unknown","MercadoContinuo"
"ZOT.MC","Zardoya Otis SA","Unknown","MercadoContinuo"
"BVIS.MC","Viscofan","Unknown","MercadoContinuo"
"VER.MC","VERTICE TRESCI SE G","Unknown","MercadoContinuo"
"IDO.MC","Indo Internacional SA","Unknown","MercadoContinuo"
"AISA.MC","FERGO AISA","Unknown","MercadoContinuo"
"GCO.MC","Grupo Catalana Occidente SA","Unknown","MercadoContinuo"
"AGS.MC","Aguas de Barcelona SA","Unknown","MercadoContinuo"
"FRS.MC","FERSA Energias Renovables SA","Unknown","MercadoContinuo"
"SPS.MC","Service Point Solutions SA","Unknown","MercadoContinuo"
