"Code","Symbol","Industry","Board"
"ERIC-B.ST","Ericsson","Unknown","Stockholm"
"VOLV-B.ST","Volvo AB","Unknown","Stockholm"
"NDA-SEK.ST","Nordea Bank","Unknown","Stockholm"
"TLSN.ST","Teliasonera Ab","Unknown","Stockholm"
"SWED-A.ST","Swedbank AB","Unknown","Stockholm"
"SEB-A.ST","S E Banken","Unknown","Stockholm"
"ATCO-A.ST","Atlas Copco AB","Unknown","Stockholm"
"BOL.ST","Boliden AB","Unknown","Stockholm"
"WSIB-SDB.ST","West Siberian Resources Ltd.","Unknown","Stockholm"
"SKF-B.ST","SKF AB","Unknown","Stockholm"
"PRIC-B.ST","Pricer AB","Unknown","Stockholm"
"49924.ST","MALKA OIL","Unknown","Stockholm"
"ALFA.ST","Alfa Laval AB","Unknown","Stockholm"
"43577.ST","Entraction Holding AB","Unknown","Stockholm"
"SCV-B.ST","Scania AB","Unknown","Stockholm"
"SHB-A.ST","Svenska Handelsbanken AB","Unknown","Stockholm"
"ELUX-B.ST","Electrolux AB","Unknown","Stockholm"
"ENRO.ST","Eniro AB","Unknown","Stockholm"
"HM-B.ST","Hennes & Mauritz AB","Unknown","Stockholm"
"SSAB-A.ST","SSAB Svenskt Stal","Unknown","Stockholm"
"SKA-B.ST","Skanska AB","Unknown","Stockholm"
"SCA-B.ST","SCA Sv Cellulosa","Unknown","Stockholm"
"SYKA.ST","SYSTEM KAPIT SVERIG","Unknown","Stockholm"
"EPCT.ST","EpiCept Corp","Unknown","Stockholm"
"ASSA-B.ST","Assa Abloy AB","Unknown","Stockholm"
"INVE-B.ST","Investor AB","Unknown","Stockholm"
"TEL2-B.ST","Tele2 Ab","Unknown","Stockholm"
"LUMI-SDB.ST","LUNDIN MINING SDR","Unknown","Stockholm"
"SECU-B.ST","Securitas AB","Unknown","Stockholm"
"STAR.ST","STARBREEZE","Unknown","Stockholm"
"LUPE.ST","Lundin Petroleum AB","Unknown","Stockholm"
"BIAP-A.ST","BIOSENSOR -A-","Unknown","Stockholm"
"HEXA-B.ST","Hexagon AB","Unknown","Stockholm"
"PAR-SEK.ST","PA Resources AB","Unknown","Stockholm"
"KARO.ST","Karo Bio AB","Unknown","Stockholm"
"MORP-B.ST","Morphic Technologies AB","Unknown","Stockholm"
"ATCO-B.ST","ATLAS COPCO -B-","Unknown","Stockholm"
"HUSQ-B.ST","Husqvarna AB","Unknown","Stockholm"
"LABS.ST","Labs2 Group AB","Unknown","Stockholm"
"FABG.ST","Fabege AB","Unknown","Stockholm"
"CEAB.ST","COMM ENT SVENSKA","Unknown","Stockholm"
"MEDA-A.ST","Meda AB","Unknown","Stockholm"
"360H.ST","360 Holding AB","Unknown","Stockholm"
"MTRO-SDB-B.ST","Metro Intl","Unknown","Stockholm"
"PXXS-SDB.ST","PEARL EXPLOR SDB","Unknown","Stockholm"
"GETI-B.ST","Getinge AB","Unknown","Stockholm"
"NETI-B.ST","Net Insight AB","Unknown","Stockholm"
"KLED.ST","Kungsleden AB","Unknown","Stockholm"
"KINV-B.ST","Investment AB Kinnevik","Unknown","Stockholm"
"TREL-B.ST","Trelleborg AB","Unknown","Stockholm"
"MTG-B.ST","MTG (Modern Times Group)","Unknown","Stockholm"
"INDU-C.ST","IND.VAERDEN -C-","Unknown","Stockholm"
"CAST.ST","Castellum AB","Unknown","Stockholm"
"JM.ST","JM AB","Unknown","Stockholm"
"RNBS.ST","Rnb Retail And Brands","Unknown","Stockholm"
"SSAB-B.ST","SSAB -B-","Unknown","Stockholm"
"SWED-PREF.ST","SWEDBANK PRF","Unknown","Stockholm"
"IJ.ST","Intrum Justitia AB","Unknown","Stockholm"
"VOLV-A.ST","VOLVO -A-","Unknown","Stockholm"
"NISC-B.ST","Niscayah Group AB","Unknown","Stockholm"
"AXLN.ST","Axlon Group AB","Unknown","Stockholm"
"STE-R.ST","STORA ENSO -R-","Unknown","Stockholm"
"SPEL.ST","PSI SPELINVEST","Unknown","Stockholm"
"DV.ST","Digital Vision AB","Unknown","Stockholm"
"BIOP.ST","BioPhausia AB","Unknown","Stockholm"
"EKTA-B.ST","Elekta AB","Unknown","Stockholm"
"ATI.ST","AQUA TERRENA INTL","Unknown","Stockholm"
"FATV.ST","FASTTV NET","Unknown","Stockholm"
"PEAB-B.ST","PEAB AB","Unknown","Stockholm"
"SAS.ST","SAS","Unknown","Stockholm"
"MOBY.ST","Mobyson AB","Unknown","Stockholm"
"HOLM-B.ST","Holmen Ab","Unknown","Stockholm"
"LOOM-B.ST","LOOMIS B-","Unknown","Stockholm"
"SCOR.ST","Switchcore AB","Unknown","Stockholm"
"RAIL.ST","RAILCARE GROUP","Unknown","Stockholm"
"SCMI.ST","ScanMining AB","Unknown","Stockholm"
"BILL.ST","Billerud Aktiebolag","Unknown","Stockholm"
"VNIL-SDB.ST","VOST NAFTA INV SDB","Unknown","Stockholm"
"PIL-B.ST","Pilum AB","Unknown","Stockholm"
"NOBI.ST","Nobia AB","Unknown","Stockholm"
"NCC-B.ST","NCC -B-","Unknown","Stockholm"
"DNET.ST","DO NETWORKS SVERIGE","Unknown","Stockholm"
"SENS.ST","Sensys Trafic","Unknown","Stockholm"
"RFIG.ST","RADIO FREQ INV GRP","Unknown","Stockholm"
"MTRO-SDB-A.ST","METRO INTL SDR -A-","Unknown","Stockholm"
"RROS.ST","Rottneros AB","Unknown","Stockholm"
"SEAN.ST","SEANET MARI COMMUN","Unknown","Stockholm"
"BWL.ST","Bringwell International AB","Unknown","Stockholm"
"OS.ST","OraSolv AB","Unknown","Stockholm"
"CSN.ST","Cision AB","Unknown","Stockholm"
"ANOT.ST","Anoto Group Ab","Unknown","Stockholm"
"RAST.ST","Rasta Group AB","Unknown","Stockholm"
"47245.ST","Bredband2 i Skandinavien AB","Unknown","Stockholm"
"YILD-B.ST","YIELD -B-","Unknown","Stockholm"
"TRIC.ST","Tricorona Ab","Unknown","Stockholm"
"RATO-B.ST","Ratos AB","Unknown","Stockholm"
"FOLL.ST","FOLLOWIT HOLDING","Unknown","Stockholm"
"AXIS.ST","Axis AB","Unknown","Stockholm"
"INTS.ST","INTIUS","Unknown","Stockholm"
"INDU-A.ST","Industrivarden","Unknown","Stockholm"
"KLOV.ST","Klovern Ab","Unknown","Stockholm"
"HUFV-A.ST","Hufvudstaden Ab","Unknown","Stockholm"
"MIC-SDB.ST","MILLICOM INT. CELL","Unknown","Stockholm"
"ALIV-SDB.ST","Autoliv","Unknown","Stockholm"
"EOS.ST","ENERGYO SOL RUSSIA","Unknown","Stockholm"
"BETS-B.ST","Betsson Ab","Unknown","Stockholm"
"SAAB-B.ST","Saab AB","Unknown","Stockholm"
"PREC.ST","Precise Biometrics Ab","Unknown","Stockholm"
"ASP.ST","Aspiro AB","Unknown","Stockholm"
