"Code","Symbol","Industry","Board"
"3130.TW","一零四","Unknown","Taiwan"
"2311.TW","日月光","Unknown","Taiwan"
"2374.TW","佳能","Unknown","Taiwan"
"4133.TW","亞諾法","Unknown","Taiwan"
"2444.TW","友旺","Unknown","Taiwan"
"6282.TW","康舒","Unknown","Taiwan"
"1102.TW","亞洲水泥","Unknown","Taiwan"
"2345.TW","智邦","Unknown","Taiwan"
"8374.TW","羅昇","Unknown","Taiwan"
"1466.TW","聚隆纖維","Unknown","Taiwan"
"2353.TW","宏碁","Unknown","Taiwan"
"3605.TW","宏致電子","Unknown","Taiwan"
"1715.TW","亞洲化學","Unknown","Taiwan"
"3024.TW","憶聲","Unknown","Taiwan"
"4142.TW","國光生技","Unknown","Taiwan"
"6166.TW","凌華","Unknown","Taiwan"
"1442.TW","名軒","Unknown","Taiwan"
"2395.TW","研華","Unknown","Taiwan"
"1514.TW","亞力電機","Unknown","Taiwan"
"1217.TW","愛之味","Unknown","Taiwan"
"3002.TW","歐格","Unknown","Taiwan"
"9912.TW","偉聯科技","Unknown","Taiwan"
"6225.TW","天瀚","Unknown","Taiwan"
"1626.TW","F-艾美","Unknown","Taiwan"
"1590.TW","F-亞德","Unknown","Taiwan"
"3041.TW","揚智","Unknown","Taiwan"
"3209.TW","全科科技","Unknown","Taiwan"
"3380.TW","明泰","Unknown","Taiwan"
"3059.TW","華晶科","Unknown","Taiwan"
"2704.TW","國賓","Unknown","Taiwan"
"2493.TW","揚博","Unknown","Taiwan"
"2489.TW","瑞軒","Unknown","Taiwan"
"6230.TW","超眾","Unknown","Taiwan"
"1701.TW","中國化學","Unknown","Taiwan"
"1762.TW","中化合成","Unknown","Taiwan"
"2613.TW","中櫃","Unknown","Taiwan"
"2883.TW","開發金","Unknown","Taiwan"
"1611.TW","中國電器","Unknown","Taiwan"
"1535.TW","中宇","Unknown","Taiwan"
"1305.TW","華夏塑膠","Unknown","Taiwan"
"5871.TW","F-中租","Unknown","Taiwan"
"2509.TW","全坤建","Unknown","Taiwan"
"2425.TW","承啟","Unknown","Taiwan"
"1806.TW","冠軍","Unknown","Taiwan"
"1468.TW","昶和纖維","Unknown","Taiwan"
"1541.TW","錩泰","Unknown","Taiwan"
"8070.TW","長華電材","Unknown","Taiwan"
"2722.TW","夏都","Unknown","Taiwan"
"9930.TW","中聯資源","Unknown","Taiwan"
"4164.TW","承業生醫","Unknown","Taiwan"
"1103.TW","嘉新水泥","Unknown","Taiwan"
"1727.TW","中華化","Unknown","Taiwan"
"3229.TW","晟鈦","Unknown","Taiwan"
"1513.TW","中興電工","Unknown","Taiwan"
"8210.TW","勤誠興業","Unknown","Taiwan"
"1904.TW","正隆","Unknown","Taiwan"
"4942.TW","嘉彰","Unknown","Taiwan"
"1449.TW","佳和實業","Unknown","Taiwan"
"2033.TW","佳大世界","Unknown","Taiwan"
"2385.TW","群光","Unknown","Taiwan"
"5515.TW","建國","Unknown","Taiwan"
"2024.TW","志聯工業","Unknown","Taiwan"
"2456.TW","奇力新","Unknown","Taiwan"
"1809.TW","中國製釉","Unknown","Taiwan"
"8163.TW","達方電子","Unknown","Taiwan"
"3094.TW","聯傑國際","Unknown","Taiwan"
"5234.TW","達興材料","Unknown","Taiwan"
"910861.TW","神州","Unknown","Taiwan"
"1464.TW","得力","Unknown","Taiwan"
"2530.TW","華建","Unknown","Taiwan"
"3599.TW","旺能光電","Unknown","Taiwan"
"2308.TW","台達電","Unknown","Taiwan"
"6605.TW","帝寶","Unknown","Taiwan"
"2397.TW","友通","Unknown","Taiwan"
"2332.TW","友訊","Unknown","Taiwan"
"6216.TW","居易","Unknown","Taiwan"
"911616.TW","杜康","Unknown","Taiwan"
"6251.TW","定穎電子","Unknown","Taiwan"
"2884.TW","玉山金","Unknown","Taiwan"
"2483.TW","百容","Unknown","Taiwan"
"1476.TW","儒鴻企業","Unknown","Taiwan"
"3047.TW","訊舟","Unknown","Taiwan"
"3591.TW","艾笛森","Unknown","Taiwan"
"3048.TW","益登","Unknown","Taiwan"
"3038.TW","全台","Unknown","Taiwan"
"2607.TW","榮運","Unknown","Taiwan"
"2458.TW","義隆","Unknown","Taiwan"
"3450.TW","聯鈞","Unknown","Taiwan"
"2497.TW","怡利電","Unknown","Taiwan"
"6281.TW","全國電","Unknown","Taiwan"
"2331.TW","精英","Unknown","Taiwan"
"1735.TW","日勝化工","Unknown","Taiwan"
"2383.TW","台光電","Unknown","Taiwan"
"2603.TW","長榮","Unknown","Taiwan"
"2614.TW","東森","Unknown","Taiwan"
"6243.TW","迅杰","Unknown","Taiwan"
"1709.TW","和益化工","Unknown","Taiwan"
"1436.TW","福益","Unknown","Taiwan"
"9802.TW","F-鈺齊","Unknown","Taiwan"
"1219.TW","福壽","Unknown","Taiwan"
"3312.TW","弘憶股","Unknown","Taiwan"
"3557.TW","嘉威光電","Unknown","Taiwan"
"6191.TW","精成科技","Unknown","Taiwan"
"2368.TW","金像","Unknown","Taiwan"
"9905.TW","大華金屬","Unknown","Taiwan"
"1539.TW","巨庭機械","Unknown","Taiwan"
"2460.TW","建通","Unknown","Taiwan"
"4906.TW","正文","Unknown","Taiwan"
"4952.TW","凌通科技","Unknown","Taiwan"
"3406.TW","玉晶光","Unknown","Taiwan"
"3164.TW","景岳生技","Unknown","Taiwan"
"3356.TW","奇偶科技","Unknown","Taiwan"
"3519.TW","綠能","Unknown","Taiwan"
"2707.TW","晶華酒店","Unknown","Taiwan"
"9921.TW","巨大機械","Unknown","Taiwan"
"8105.TW","凌巨","Unknown","Taiwan"
"2376.TW","技嘉","Unknown","Taiwan"
"2406.TW","國碩","Unknown","Taiwan"
"3514.TW","昱晶能源","Unknown","Taiwan"
"1324.TW","地球","Unknown","Taiwan"
"9934.TW","成霖","Unknown","Taiwan"
"4935.TW","F-茂林","Unknown","Taiwan"
"8081.TW","致新","Unknown","Taiwan"
"6133.TW","金橋","Unknown","Taiwan"
"910801.TW","金衛醫療","Unknown","Taiwan"
"912398.TW","友佳國際","Unknown","Taiwan"
"1583.TW","程泰","Unknown","Taiwan"
"1524.TW","耿鼎","Unknown","Taiwan"
"2486.TW","一詮","Unknown","Taiwan"
"3022.TW","威達電","Unknown","Taiwan"
"1456.TW","怡華","Unknown","Taiwan"
"3598.TW","奕力科技","Unknown","Taiwan"
"3638.TW","F-IML","Unknown","Taiwan"
"6117.TW","迎廣","Unknown","Taiwan"
"2491.TW","吉祥全","Unknown","Taiwan"
"2495.TW","普安","Unknown","Taiwan"
"3474.TW","華亞科","Unknown","Taiwan"
"2356.TW","英業達","Unknown","Taiwan"
"3481.TW","群創光電","Unknown","Taiwan"
"6115.TW","鎰勝","Unknown","Taiwan"
"3014.TW","聯陽","Unknown","Taiwan"
"6213.TW","聯茂","Unknown","Taiwan"
"2442.TW","新美齊","Unknown","Taiwan"
"3653.TW","健策","Unknown","Taiwan"
"1538.TW","正峰新","Unknown","Taiwan"
"3011.TW","今皓","Unknown","Taiwan"
"1736.TW","喬山","Unknown","Taiwan"
"2540.TW","金尚昌","Unknown","Taiwan"
"8429.TW","F-金麗","Unknown","Taiwan"
"1512.TW","瑞利","Unknown","Taiwan"
"1540.TW","喬福機械","Unknown","Taiwan"
"6197.TW","佳必琪","Unknown","Taiwan"
"1617.TW","榮星電線","Unknown","Taiwan"
"3584.TW","介面光電","Unknown","Taiwan"
"6165.TW","捷泰","Unknown","Taiwan"
"9136.TW","巨騰","Unknown","Taiwan"
"2461.TW","光群雷","Unknown","Taiwan"
"1531.TW","高林股","Unknown","Taiwan"
"6155.TW","鈞寶電子","Unknown","Taiwan"
"2546.TW","根基","Unknown","Taiwan"
"1477.TW","聚陽","Unknown","Taiwan"
"1732.TW","毛寶","Unknown","Taiwan"
"9942.TW","茂順","Unknown","Taiwan"
"3315.TW","宣昶","Unknown","Taiwan"
"2020.TW","美亞","Unknown","Taiwan"
"1731.TW","美吾華","Unknown","Taiwan"
"2427.TW","三商電","Unknown","Taiwan"
"2454.TW","聯發科","Unknown","Taiwan"
"9103.TW","美德醫","Unknown","Taiwan"
"2886.TW","兆豐金","Unknown","Taiwan"
"2477.TW","美隆電","Unknown","Taiwan"
"2905.TW","三 商 行","Unknown","Taiwan"
"2867.TW","三商壽","Unknown","Taiwan"
"2439.TW","美律","Unknown","Taiwan"
"6196.TW","帆宣","Unknown","Taiwan"
"9914.TW","美利達","Unknown","Taiwan"
"3706.TW","神達","Unknown","Taiwan"
"2305.TW","全友","Unknown","Taiwan"
"3060.TW","銘異","Unknown","Taiwan"
"2464.TW","盟立","Unknown","Taiwan"
"2856.TW","元富證券","Unknown","Taiwan"
"1533.TW","車王電","Unknown","Taiwan"
"2434.TW","統懋","Unknown","Taiwan"
"2377.TW","微星","Unknown","Taiwan"
"3697.TW","F-晨星","Unknown","Taiwan"
"3005.TW","神基","Unknown","Taiwan"
"2314.TW","台揚","Unknown","Taiwan"
"911626.TW","華運中國","Unknown","Taiwan"
"2361.TW","鴻友","Unknown","Taiwan"
"2342.TW","茂矽","Unknown","Taiwan"
"2337.TW","旺宏","Unknown","Taiwan"
