"Code","Name"
"4106.TW","雃博"
"8916.TWO","光隆"
"2601.TW","益航"
"6170.TWO","統振"
"2441.TW","超豐"
"5489.TWO","彩富"
"1471.TW","首利"
"3056.TW","總太地產"
"2406.TW","國碩"
"2361.TW","鴻友"
"9955.TW","佳龍"
"3010.TW","華立"
"2888.TW","新光金"
"8908.TWO","欣雄"
"1436.TW","福益"
"1711.TW","永光化學"
"8932.TWO","宏大"
"6146.TWO","耕興"
"4141.TW","F-龍燈"
"6154.TWO","順發"
"2596.TWO","綠意"
"3617.TW","碩天"
"1516.TW","川飛"
"2727.TW","王品"
"8924.TWO","大田"
"3083.TWO","網龍"
"8111.TWO","立碁"
"8114.TW","振樺電子"
"3431.TWO","長天"
"5210.TWO","寶碩"
"1504.TW","東元電機"
"1229.TW","聯華實業"
"4529.TWO","雷風"
"6139.TW","亞翔"
"6227.TWO","茂綸"
"9949.TWO","琉園"
"3512.TWO","能緹"
"4707.TWO","磐亞"
"1402.TW","遠東新"
"5426.TWO","振發"
"5701.TWO","劍湖山"
"6115.TW","鎰勝"
"3044.TW","健鼎"
"4939.TWO","亞電"
"5604.TWO","中連貨"
"2395.TW","研華"
"8182.TWO","加高"
"5016.TWO","松和"
"1723.TW","中鋼碳素"
"9943.TW","好樂迪"
"1310.TW","臺灣苯乙烯"
"8085.TWO","福華"
"8077.TWO","冠華"
"6196.TW","帆宣"
"8069.TWO","元太"
"8411.TW","F-福貞"
"5450.TWO","寶聯通"
"2739.TW","寒舍"
"1787.TWO","福盈科"
"6298.TWO","崴強"
"6230.TW","超眾"
"5305.TW","敦南"
"2314.TW","台揚"
"5345.TWO","天揚"
"1103.TW","嘉新水泥"
"2453.TW","凌群"
"3605.TW","宏致電子"
"5203.TW","訊連"
"8433.TWO","弘帆"
"8092.TWO","建暐"
"5706.TW","鳳凰旅遊"
"8416.TWO","實威"
"3022.TW","威達電"
"2373.TW","震旦行"
"9908.TW","大台北瓦斯"
"8926.TW","台汽電"
"4126.TWO","太醫"
"1309.TW","台達化"
"1414.TW","東和紡織"
"3067.TWO","全域"
"3515.TW","華擎"
"5516.TWO","雙喜"
"4207.TWO","環泰"
"3596.TW","智易科技"
"2348.TW","力廣"
"6138.TWO","茂達"
"9931.TW","欣高"
"2017.TW","官田鋼"
"2475.TW","華映"
"5225.TW","東科控股"
"2062.TW","橋椿金屬"
"2705.TW","六福"
"5202.TWO","力新"
"3308.TW","聯德電子"
"1538.TW","正峰新"
"4401.TWO","東隆"
"6219.TWO","富旺"
"3325.TWO","旭品"
"3698.TW","隆達電子"
"9945.TW","潤泰新"
"2351.TW","順德"
"6278.TW","台表科"
"8925.TWO","偉盟"
"1541.TW","錩泰"
"2511.TW","太子"
"6242.TWO","亨豐"
"6218.TWO","豪勉"
"2497.TW","怡利電"
"3066.TWO","李洲"
"1570.TWO","力肯"
"3252.TWO","海灣"
"5522.TW","遠雄建設"
"6129.TWO","普誠"
"4305.TWO","世坤"
"2832.TW","台灣產物"
"2451.TW","創見"
"6152.TW","百一"
"5498.TWO","凱崴"
"6234.TWO","高僑"
"2637.TW","F-慧洋"
"2912.TW","統一超商"
"6163.TWO","華電網"
"1907.TW","永豐餘"
"1219.TW","福壽"
"3317.TWO","尼克森"
"1733.TW","五鼎"
"3664.TWO","安瑞"
"5015.TWO","華祺"
"2385.TW","群光"
"9933.TW","中鼎"
"5488.TWO","松普"
"5506.TWO","長鴻"
"2015.TW","豐興鋼鐵"
"2428.TW","興勤"
"5211.TWO","蒙恬"
"0055.TW","寶金融"
